submission_pk,User,Avg_Score,Bleu(4),METEOR,ROUGE_L,CIDEr
921379,Dady_g12,0.23861 (1),0.22720 (3),0.14968 (1),0.32916 (1),0.28263 (2),
921146,ML-Group-8,0.23817 (2),0.23503 (1),0.13569 (4),0.32035 (2),0.27104 (3),
918613,GC35,0.22987 (3),0.22522 (4),0.13751 (3),0.31743 (5),0.25332 (4),
921533,KFC-Group3,0.22447 (4),0.21774 (6),0.14137 (2),0.31943 (3),0.23952 (6),
920619,G7,0.22318 (5),0.23445 (2),0.11174 (35),0.28586 (21),0.22684 (9),
921528,G10,0.21788 (6),0.20857 (8),0.13410 (5),0.31309 (7),0.24368 (5),
919006,G18,0.21482 (7),0.21108 (7),0.12687 (8),0.30519 (11),0.22737 (8),
920484,hanzhj,0.21144 (8),0.20002 (10),0.12765 (7),0.31769 (4),0.23463 (7),
916633,G1,0.20831 (9),0.17673 (28),0.12604 (9),0.30527 (10),0.31991 (1),
920993,Group__4,0.20809 (10),0.22323 (5),0.10160 (38),0.25958 (37),0.20254 (18),
920982,Corner,0.20809 (10),0.22323 (5),0.10160 (38),0.25958 (37),0.20254 (18),
920402,Group_PHI,0.20809 (10),0.22323 (5),0.10160 (38),0.25958 (37),0.20254 (18),
918559,Group_x,0.20731 (11),0.19734 (15),0.12912 (6),0.30834 (8),0.22435 (10),
920397,G22,0.20627 (12),0.19987 (11),0.12401 (12),0.29858 (12),0.22183 (11),
907925,Yyyu,0.20623 (13),0.19917 (13),0.12468 (10),0.30594 (9),0.21632 (15),
920471,G-29,0.20518 (14),0.19930 (12),0.12328 (15),0.29795 (13),0.21782 (12),
920741,G_24,0.20359 (15),0.20825 (9),0.11380 (31),0.28117 (27),0.19717 (22),
918481,Group25,0.20108 (16),0.19744 (14),0.11771 (24),0.28346 (23),0.21658 (14),
917663,liuzhiqiu,0.19713 (17),0.19260 (17),0.12442 (11),0.31359 (6),0.17149 (31),
919816,Group-5,0.19706 (18),0.19542 (16),0.11543 (28),0.28191 (26),0.20038 (19),
921180,G_11,0.19641 (19),0.19076 (18),0.12357 (13),0.29616 (14),0.19213 (25),
920274,leo_leo,0.19595 (20),0.18756 (20),0.12179 (17),0.29358 (16),0.20603 (17),
921484,G_33,0.19579 (21),0.18572 (21),0.12356 (14),0.29609 (15),0.20800 (16),
919922,yjtjb,0.19307 (22),0.18280 (24),0.11697 (26),0.28667 (20),0.21667 (13),
921489,Group30,0.19247 (23),0.18849 (19),0.12188 (16),0.28732 (19),0.18413 (29),
927580,group34,0.19173 (24),0.18473 (22),0.12162 (19),0.28833 (18),0.19322 (24),
920593,Group_9,0.19173 (24),0.18473 (22),0.12162 (19),0.28833 (18),0.19322 (24),
918283,Group_16,0.18927 (25),0.18300 (23),0.12033 (20),0.28544 (22),0.18709 (27),
920729,namespace123,0.18901 (26),0.18223 (25),0.11981 (22),0.28850 (17),0.18583 (28),
921525,G26,0.18788 (27),0.17839 (26),0.12172 (18),0.28071 (29),0.19915 (20),
919185,Goup13,0.18599 (28),0.17623 (29),0.12032 (21),0.28244 (25),0.19424 (23),
918376,FForget,0.18599 (28),0.17623 (29),0.12032 (21),0.28244 (25),0.19424 (23),
920504,G21,0.18524 (29),0.17478 (30),0.11919 (23),0.28112 (28),0.19727 (21),
918584,G17,0.18354 (30),0.17707 (27),0.11629 (27),0.28269 (24),0.17748 (30),
918589,GP17,0.18354 (30),0.17707 (27),0.11629 (27),0.28269 (24),0.17748 (30),
919955,JvanJvanJvan,0.17908 (31),0.17030 (33),0.11241 (34),0.27261 (33),0.18737 (26),
918009,sleepeverydayuniversity,0.17710 (32),0.17262 (31),0.11265 (33),0.28023 (30),0.15634 (35),
918962,QLZQ,0.17546 (33),0.16928 (34),0.11445 (30),0.27943 (32),0.15723 (34),
918121,Group_15,0.17457 (34),0.17059 (32),0.11349 (32),0.27959 (31),0.14656 (36),
920551,ML-Group-2,0.17421 (35),0.16917 (35),0.11498 (29),0.26878 (36),0.15901 (33),
920827,guazi,0.17192 (36),0.16368 (36),0.11742 (25),0.27179 (34),0.15954 (32),
920392,suzhou_group31,0.16448 (37),0.15613 (37),0.11133 (36),0.27022 (35),0.14527 (37),
920802,GGGG27,0.15311 (38),0.14452 (38),0.10748 (37),0.24766 (38),0.13854 (38),
919217,qqqqwer,0.15311 (38),0.14452 (38),0.10748 (37),0.24766 (38),0.13854 (38),
919918,pilots,0.08590 (39),0.08607 (39),0.07597 (39),0.17306 (39),0.00801 (40),
920681,G32,0.06652 (40),0.06835 (40),0.04101 (41),0.14335 (41),0.00787 (41),
920871,Group-34,0.06237 (41),0.05079 (41),0.05518 (40),0.16638 (40),0.01187 (39),
920862,zhangzhe,0.06237 (41),0.05079 (41),0.05518 (40),0.16638 (40),0.01187 (39),
