submission_pk,User,BLEU-1,BLEU-1,BLEU-2,BLEU-2,BLEU-3,BLEU-3,BLEU-4,BLEU-4,METEOR,METEOR,ROUGE-L,ROUGE-L,CIDEr-D,CIDEr-D
,c5,c40,c5,c40,c5,c40,c5,c40,c5,c40,c5,c40,c5,c40
1141321,OFA-Sys_OFA,0.981 (1),0.944 (2),0.878 (2),0.787 (1),0.427 (1),0.790 (1),1.496 (1),,,,,,,,,,,,,,,
1141129,MS_Cog_Svcs-GIT-Single_Model,0.980 (2),0.945 (1),0.878 (1),0.786 (2),0.422 (2),0.785 (2),1.495 (2),,,,,,,,,,,,,,,
1116355,CMG,0.975 (5),0.932 (6),0.857 (7),0.761 (7),0.402 (8),0.756 (14),1.439 (3),,,,,,,,,,,,,,,
1103427,tohoku_cvlab,0.976 (4),0.935 (3),0.863 (3),0.768 (3),0.410 (3),0.771 (3),1.438 (4),,,,,,,,,,,,,,,
964017,hwy,0.977 (3),0.935 (4),0.861 (4),0.765 (5),0.405 (7),0.764 (7),1.438 (5),,,,,,,,,,,,,,,
916824,NS-Lab,0.974 (7),0.930 (7),0.857 (6),0.762 (6),0.405 (6),0.764 (6),1.421 (6),,,,,,,,,,,,,,,
1073022,RSIC,0.963 (38),0.915 (28),0.833 (35),0.730 (45),0.396 (17),0.755 (17),1.408 (7),,,,,,,,,,,,,,,
1144149,weimingboya,0.975 (6),0.932 (5),0.861 (5),0.768 (4),0.409 (4),0.771 (4),1.404 (8),,,,,,,,,,,,,,,
1110579,Lera_sherlock,0.972 (9),0.927 (9),0.851 (9),0.753 (9),0.398 (10),0.757 (11),1.392 (9),,,,,,,,,,,,,,,
747448,MSR-MS_Cog_Svcs,0.969 (10),0.924 (10),0.847 (10),0.749 (10),0.408 (5),0.768 (5),1.387 (10),,,,,,,,,,,,,,,
955993,zye,0.965 (22),0.918 (21),0.837 (22),0.735 (34),0.396 (14),0.750 (36),1.386 (11),,,,,,,,,,,,,,,
1130172,yay97,0.966 (19),0.919 (13),0.839 (18),0.737 (26),0.397 (13),0.753 (23),1.384 (12),,,,,,,,,,,,,,,
964142,PureT,0.965 (28),0.918 (20),0.839 (17),0.741 (16),0.399 (9),0.759 (8),1.383 (13),,,,,,,,,,,,,,,
939191,Actor,0.967 (15),0.919 (15),0.841 (15),0.742 (15),0.395 (24),0.749 (44),1.371 (14),,,,,,,,,,,,,,,
921260,siwooyong,0.972 (8),0.929 (8),0.854 (8),0.761 (8),0.387 (69),0.756 (15),1.369 (15),,,,,,,,,,,,,,,
961270,yln-u,0.967 (16),0.919 (16),0.841 (14),0.743 (14),0.396 (16),0.754 (19),1.366 (16),,,,,,,,,,,,,,,
962873,LSTNet,0.967 (13),0.920 (12),0.843 (12),0.747 (11),0.396 (19),0.754 (18),1.363 (17),,,,,,,,,,,,,,,
