submission_pk,User,Prediction score,Duration
964133,YCC2021,49.0909 (1),0.00 (1),
952433,Maysina,38.3246 (2),0.00 (1),
956293,OKC0,19.7222 (3),0.00 (1),
930701,mzt_zybank,17.7419 (4),0.00 (1),
930618,duibudui,13.3333 (5),0.00 (1),
918777,yulinlin,10.1010 (6),0.00 (4),
917641,CTC_2021,10.1010 (6),0.00 (7),
917365,qinhui99,10.1010 (6),0.00 (6),
917327,suda_iai_team,10.1010 (6),0.00 (9),
917247,destin,10.1010 (6),0.00 (3),
920675,zhujp,7.4525 (7),0.00 (5),
922238,FourierTT,1.2987 (8),0.00 (8),
950219,stardust,0.0000 (9),0.00 (1),
941375,lczhang06,-1.0000 (10),0.00 (1),
924799,Guanyuhang,-1.0000 (10),0.00 (2),
