submission_pk,User,Mean,Vehicle,Pedestrian,Cyclist
983717,W.P.Xiao,77.81 (1),86.33 (1),71.56 (1),75.53 (1),
973521,teja_vsd,69.03 (2),81.74 (2),56.63 (2),68.74 (4),
962497,pickle,67.95 (3),79.27 (4),55.57 (3),69.02 (3),
957948,czy666,66.25 (4),81.11 (3),47.82 (12),69.81 (2),
977675,snowlake,65.50 (5),74.63 (8),54.84 (4),67.03 (5),
960640,hailanyi,65.27 (6),76.25 (7),53.87 (5),65.70 (8),
982650,Michael.CV,63.82 (7),78.90 (5),48.46 (11),64.09 (9),
959262,yujunwei12,62.08 (8),71.29 (11),52.67 (6),62.30 (12),
929416,zhangyixin,61.85 (9),71.70 (10),50.24 (7),63.59 (10),
952387,tianyuan,61.68 (10),71.85 (9),47.02 (13),66.16 (6),
966533,zzk123,61.50 (11),68.24 (13),50.20 (8),66.07 (7),
936447,Yjw,60.82 (12),71.10 (12),50.06 (9),61.30 (13),
920805,sslad2021,59.40 (13),66.01 (14),49.36 (10),62.82 (11),
955811,ig_yyf,54.61 (14),77.73 (6),25.84 (14),60.26 (14),
