submission_pk,User,AP @ 0.50:0.95,AP @ 0.50,AP @ 0.75,AP @ 0.50:0.95 (small),AP @ 0.50:0.95 (medium),AP @ 0.50:0.95 (large)
977550,jahongir7174,0.477 (1),0.747 (1),0.522 (1),0.185 (1),0.654 (1),0.716 (1),
982127,AI-AI,0.409 (2),0.659 (2),0.481 (2),0.084 (5),0.591 (3),0.677 (3),
981955,W---,0.409 (2),0.659 (2),0.481 (2),0.084 (5),0.591 (3),0.677 (3),
982057,lengyu.yb,0.402 (3),0.652 (3),0.428 (3),0.118 (3),0.517 (4),0.682 (2),
978179,YJingyu,0.375 (4),0.615 (4),0.410 (4),0.076 (7),0.497 (6),0.644 (4),
976647,THU_IVG_2018,0.366 (5),0.559 (6),0.389 (5),0.061 (9),0.592 (2),0.618 (6),
977424,skr,0.349 (6),0.573 (5),0.389 (6),0.068 (8),0.516 (5),0.639 (5),
973402,RallyTheValley,0.185 (7),0.371 (7),0.170 (8),0.000 (10),0.372 (7),0.376 (7),
968953,chen112929553,0.185 (8),0.369 (8),0.183 (7),0.181 (2),0.329 (8),0.341 (8),
978883,neptuneai,0.084 (9),0.261 (9),0.021 (10),0.000 (10),0.128 (9),0.217 (9),
967662,RyanXue,0.047 (10),0.136 (11),0.023 (9),0.085 (4),0.022 (11),0.111 (11),
974287,attilalengyel,0.044 (11),0.146 (10),0.010 (12),0.000 (10),0.048 (10),0.214 (10),
967892,YFKao,0.040 (12),0.128 (12),0.011 (11),0.084 (6),0.013 (12),0.094 (12),
