submission_pk,User,V@0.10:0.90,F@0.5,V@0.2,V@0.5,V@0.05:0.45,V@0.50:0.95
971373,ningzhiqing,24.235 (1),48.675 (1),48.596 (1),22.823 (1),43.564 (1),7.166 (1),
968710,wings8643,19.132 (2),29.872 (2),35.045 (2),20.826 (2),32.477 (2),7.112 (2),
967524,yixuanli,11.923 (3),28.485 (3),25.780 (3),9.888 (3),22.506 (3),2.651 (3),
967532,ckk,7.092 (4),1.188 (8),14.516 (4),6.240 (4),13.055 (4),1.810 (4),
967516,Style,7.092 (4),0.000 (10),14.516 (4),6.240 (4),13.055 (4),1.810 (4),
971062,NUST-WSM,2.549 (5),18.609 (4),6.917 (5),0.610 (6),5.644 (5),0.123 (6),
969726,Klinic,1.288 (6),0.016 (9),3.009 (6),0.754 (5),2.652 (6),0.177 (5),
971198,zhouzeyu,1.288 (6),2.874 (5),3.009 (6),0.754 (5),2.652 (6),0.177 (5),
970087,wangy1,0.995 (7),1.463 (7),2.399 (7),0.186 (7),2.298 (7),0.035 (8),
971196,ZMF,0.612 (8),1.769 (6),1.564 (8),0.144 (8),1.365 (8),0.039 (7),
