submission_pk,User,< Rank >,Pearson r,RMSE,MAE,Disk Footprint (Bytes),Model Params
939383,joanne.wjy,2.80 (1),0.6474 (1),0.7364 (1),0.6048 (2),2244030744.0 (5),560981507.0 (5),
933409,hantae.kim,4.00 (3),0.6368 (2),0.7382 (3),0.6045 (1),2503797760.0 (7),611278859.0 (7),
940516,IST-Unbabel,6.20 (7),0.6283 (3),0.7797 (6),0.6584 (6),4872322439.0 (8),1214683792.0 (8),
937573,HW-TSC,3.40 (2),0.6217 (4),0.7373 (2),0.6156 (3),2243941083.0 (4),560941057.0 (4),
952318,kw,4.60 (5),0.6159 (5),0.7460 (4),0.6239 (4),2244030744.0 (5),560981507.0 (5),
933804,gregor_geigle,6.80 (8),0.6093 (6),0.8243 (8),0.6739 (8),2382759964.0 (6),595689991.0 (6),
933002,Inmon,5.80 (6),0.5917 (7),0.7954 (7),0.6649 (7),2243941083.0 (4),560941057.0 (4),
937114,shaun.lim,4.40 (4),0.5816 (8),0.7709 (5),0.6321 (5),1249902592.0 (2),297974795.0 (2),
940551,fblain,5.80 (6),0.4760 (9),0.8524 (9),0.7105 (9),1142413043.0 (1),281291535.0 (1),
939542,shakedme,7.20 (9),0.4240 (10),1.0437 (10),0.8318 (10),1886937088.0 (3),471716864.0 (3),
