submission_pk,User,< Rank >,MCC,F1 BAD,F1 OK,Disk Footprint (Bytes),Model Params
940479,sding,3.00 (1),0.5231 (1),0.5993 (1),0.9066 (4),6863178235.0 (6),484431872.0 (3),
939716,HW-TSC,3.60 (3),0.5095 (2),0.5870 (2),0.8997 (5),2243954093.0 (4),560944640.0 (5),
940635,IST-Unbabel,3.80 (4),0.4661 (3),0.5513 (3),0.9141 (2),2294887576.0 (5),569368609.0 (6),
935794,Abulice,4.20 (5),0.4368 (4),0.5295 (4),0.8835 (6),2243439613.0 (3),560814661.0 (4),
950729,dammy,3.00 (1),0.4126 (5),0.4965 (5),0.9145 (1),1561188430.0 (2),390210052.0 (2),
940575,fblain,3.40 (2),0.3696 (6),0.4553 (6),0.9109 (3),1142441796.0 (1),281297685.0 (1),
submission_pk,User,< Rank >,MCC,F1 BAD,F1 OK,Disk Footprint (Bytes),Model Params
939716,HW-TSC,3.20 (2),0.2997 (1),0.2943 (1),0.9693 (5),2243954093.0 (4),560944640.0 (5),
940479,sding,3.40 (3),0.2559 (2),0.2655 (2),0.9849 (3),6863178235.0 (6),484431872.0 (4),
940635,IST-Unbabel,3.80 (4),0.1833 (3),0.1781 (3),0.9858 (2),2294887576.0 (5),569368609.0 (6),
940575,fblain,2.80 (1),0.1157 (4),0.0982 (5),0.9864 (1),1142441796.0 (2),281297685.0 (2),
950729,dammy,3.80 (4),0.1096 (5),0.1237 (4),0.9823 (4),1561188430.0 (3),390210052.0 (3),
935794,Abulice,4.00 (5),0.0000 (6),0.0000 (6),0.0000 (6),0.0 (1),0.0 (1),
submission_pk,User,< Rank >,MCC,F1 BAD,F1 OK,Disk Footprint (Bytes),Model Params
939716,HW-TSC,3.20 (2),0.4499 (1),0.5163 (1),0.8936 (4),2243954093.0 (5),560944640.0 (5),
940635,IST-Unbabel,3.80 (4),0.4042 (2),0.4827 (2),0.9209 (3),2294887576.0 (6),569368609.0 (6),
935794,Abulice,3.80 (4),0.3915 (3),0.4675 (3),0.8750 (5),2243439613.0 (4),560814661.0 (4),
940575,fblain,2.80 (1),0.3220 (4),0.3933 (5),0.9235 (1),1142441796.0 (2),281297685.0 (2),
950729,dammy,3.40 (3),0.3200 (5),0.3950 (4),0.9216 (2),1561188430.0 (3),390210052.0 (3),
940479,sding,4.00 (5),0.0000 (6),0.0000 (6),0.0000 (6),0.0 (1),0.0 (1),
