submission_pk,User,CD_Loss@Com,Rot_Error@Reg,Trans_Error@Reg,MSE@Reg
970868,Castle,5.01191 (1),1.00000 (1),1.00000 (1),1.00000 (1),
975265,MYXU,5.01245 (2),1.00000 (1),1.00000 (1),1.00000 (1),
970927,Zhou21,5.14602 (3),1.00000 (1),1.00000 (1),1.00000 (1),
971308,ArturKasymov,5.51638 (4),1.00000 (1),1.00000 (1),1.00000 (1),
966572,Mason_123,5.76063 (5),1.00000 (1),1.00000 (1),1.00000 (1),
968397,hugoycj,5.97852 (6),1.00000 (1),1.00000 (1),1.00000 (1),
940805,yb77402,6.25308 (7),1.00000 (1),1.00000 (1),1.00000 (1),
953638,liuxinpu_nudt,6.32601 (8),1.00000 (1),1.00000 (1),1.00000 (1),
939195,X_team,7.32207 (9),1.00000 (1),1.00000 (1),1.00000 (1),
957204,alanhsu24,7.75178 (10),1.00000 (1),1.00000 (1),1.00000 (1),
935981,shisenwang,8.30789 (11),1.00000 (1),1.00000 (1),1.00000 (1),
