submission_pk,User,mAP
951634,firefighter,73.47320 (1),
940242,nekokiku,72.63201 (2),
948114,snowtyan,71.80931 (3),
952885,sophiezang,69.45584 (4),
953134,signcoda,68.99377 (5),
937702,ori,65.11881 (6),
951958,Strider,64.88999 (7),
951243,zZamm,64.81079 (8),
951098,Tensor1,64.36084 (9),
952137,lcpdeb,61.72914 (10),
940717,dejahu,60.86707 (11),
953188,niangaopx,60.30520 (12),
951575,Estein,60.16305 (13),
952103,jiangcool,57.99364 (14),
941045,chujiu,57.99364 (14),
949150,IAmWinner,53.85149 (15),
950550,MiceWise,50.18427 (16),
951955,Muyun99,33.36267 (17),
948053,bamboopu,31.98806 (18),
951823,mugencai,24.25468 (19),
938579,yangguang_sunshine,7.24095 (20),
941079,PaceMak1r,4.41584 (21),
935266,Crazy-winds,2.66642 (22),
