submission_pk,User,Rank,CIFAR-10 Agreement,CIFAR-10 TVD,IMDB Agreement,IMDB TVD
936090,zhangjun,3.00 (2),1.0000 (1),0.0000 (1),- (5),- (5),
994182,yashvirgrewal,1.50 (1),0.9390 (2),0.0859 (2),0.9366 (1),0.0676 (1),
969137,achille.thin,4.00 (3),0.9347 (3),0.1063 (3),- (5),- (5),
961872,nkotelevskii,4.50 (4),0.9322 (4),0.1067 (4),- (5),- (5),
952607,kostl,5.00 (5),0.9236 (5),0.1228 (5),- (5),- (5),
958944,deebuls,5.50 (7),0.9157 (6),0.1479 (6),- (5),- (5),
990293,drops,5.25 (6),0.6394 (7),0.4285 (7),0.4977 (3),0.3915 (4),
933113,izmailovpavel,5.50 (7),0.5274 (8),0.5340 (10),0.9080 (2),0.0913 (2),
941107,nevermind,7.00 (8),0.5084 (9),0.5171 (9),- (5),- (5),
963341,dsinghvi,7.00 (8),0.5006 (10),0.4846 (8),- (5),- (5),
963346,numahha,8.00 (9),0.4886 (11),0.5400 (11),- (5),- (5),
933488,Sanae_lotfi,8.50 (11),0.4836 (12),0.5514 (12),- (5),- (5),
995470,edaxberger,8.25 (10),0.1021 (13),0.8237 (13),0.4977 (3),0.3915 (4),
963138,AndPotap,8.25 (10),0.1021 (13),0.8237 (13),0.4977 (3),0.3915 (4),
933120,sharadmv,8.25 (10),0.1021 (13),0.8237 (13),0.4974 (4),0.3914 (3),
