submission_pk,User,DCF,EER
966209,snowstar,0.1034 (1),1.8460 (1),
966121,yugi,0.1175 (2),2.8400 (3),
966039,JTBD,0.1291 (3),2.2710 (2),
964419,xiaolinlin,0.1551 (4),2.9800 (9),
964309,fxi,0.1665 (5),2.9440 (7),
964059,shengyu,0.1669 (6),2.8750 (4),
959884,Maccio,0.1670 (7),3.3050 (14),
966136,sgspk,0.1674 (8),2.8930 (5),
965141,SVD,0.1675 (9),2.9000 (6),
964466,ss1010,0.1679 (10),2.9700 (8),
964516,deg,0.1688 (11),2.9860 (10),
965244,hellosid,0.1728 (12),3.7170 (21),
964201,ab3007,0.1742 (13),3.3250 (15),
966192,chl2,0.1757 (14),3.0870 (11),
965998,Qingjian,0.1768 (15),3.4540 (16),
966020,njz,0.1800 (16),3.2620 (13),
965986,Rhinos,0.1815 (17),3.2490 (12),
955200,shaoniandeni,0.1887 (18),3.6430 (20),
958770,zhaohuan,0.1978 (19),3.7290 (22),
966161,vpcainiao,0.2013 (20),3.6290 (19),
966171,holo_xxg,0.2013 (20),3.6290 (19),
958674,Ares-UIBE,0.2037 (21),3.6010 (18),
961854,everyran,0.2045 (22),3.5580 (17),
964251,curisan,0.2079 (23),4.0350 (24),
957532,gmh2020,0.2113 (24),3.9170 (23),
962450,musician,0.2245 (25),4.1260 (26),
958760,BOSS,0.2306 (26),4.8570 (33),
965146,caiqt,0.2317 (27),4.0570 (25),
960984,rousju,0.2458 (28),4.8630 (34),
961096,furu,0.2509 (29),4.5670 (28),
961101,katon,0.2515 (30),4.8110 (31),
965400,mryb,0.2542 (31),4.2960 (27),
958511,Rissa,0.2619 (32),5.6460 (45),
958319,HMM,0.2619 (32),4.5920 (29),
957096,yong.chun,0.2674 (33),4.8380 (32),
964312,hello_xgg,0.2695 (34),4.8760 (35),
951944,mrouvier,0.2706 (35),5.0320 (38),
959726,t81618,0.2871 (36),4.9870 (37),
959356,Li-Ruichen,0.2884 (37),4.7660 (30),
952460,zhanggx,0.2941 (38),5.1560 (41),
952359,nideshaonian,0.3029 (39),5.1420 (40),
959176,_2BeNo1_,0.3030 (40),4.9850 (36),
961790,next,0.3076 (41),5.7250 (47),
952156,xgg006,0.3098 (42),5.2910 (42),
961963,i.s.zakharov,0.3182 (43),5.5790 (44),
963237,TK,0.3254 (44),5.0750 (39),
957707,SunghwanMun,0.3299 (45),5.7110 (46),
958441,cdd,0.3401 (46),6.0920 (50),
951114,vgg_oxford,0.3512 (47),5.8750 (49),
965226,RJ_Tao,0.3538 (48),5.7870 (48),
963385,rasim.ulgen,0.3568 (49),6.1130 (51),
965498,simon-rtzr,0.3758 (50),6.1620 (52),
965517,gintautas_vu,0.3809 (51),7.0680 (55),
965218,sst_ai,0.4065 (52),6.4950 (53),
960793,speaker_voice,0.4108 (53),6.7620 (54),
953551,mlhambc,0.4296 (54),7.6810 (57),
964733,ur0,0.4307 (55),5.5620 (43),
964341,xgg-z,0.4427 (56),7.3410 (56),
959410,nvaessen,0.5474 (57),10.2050 (59),
963622,xuesongyan,0.5528 (58),9.5290 (58),
