submission_pk,User,SIZE(M),RMSE
1002776,zhwzhong,2.41 (8),4.6208 (1),
1002759,chenanran,42.33 (1),4.6598 (2),
1001726,XibinSong,5.00 (5),5.3084 (3),
1002149,wangchy29,18.20 (3),5.4448 (4),
1001857,muliao,5.40 (4),5.8376 (5),
1000874,yyh1024,3.08 (7),6.0965 (6),
1001414,BCJuan,0.00 (9),6.1430 (7),
1002794,RonghuiSheng,18.90 (2),6.5009 (8),
1002651,XiaoChanMao,0.00 (9),7.4876 (9),
1002353,statshiba,0.00 (9),7.5098 (10),
1002951,karasu0803,4.50 (6),186.6794 (11),
1002607,baiyu_fsfsfsdsds,0.00 (9),9999.0000 (12),
