submission_pk,User,Log of MAE score
987456,cue,2.7327737723 (1),
982731,phatham,2.7500283484 (2),
983502,ariya23156,2.7504653810 (3),
984805,batprem,2.7594998692 (4),
987230,UncleTed,2.7688908091 (5),
981748,F-C,2.7688908091 (5),
979223,Supitcha.Suks,2.7759385195 (6),
983766,romrawin,2.7890859220 (7),
986899,SuradechK,2.7924059783 (8),
975760,Natchapol,2.8029956217 (9),
986111,Doramin,2.8030768772 (10),
975716,Supitcha.Suks,2.8051752454 (11),
980432,barnrang,2.8097789124 (12),
977172,Max_p,2.8116384197 (13),
984430,Jackdebuff,2.8128026010 (14),
985826,vikimark,2.8131886813 (15),
977162,gingerrrr,2.8155122970 (16),
979384,makkawan,2.8184660424 (17),
975908,Pop,2.8228035634 (18),
984458,TMLCC0416,2.8271169612 (19),
987077,Keith12345671,2.8287405284 (20),
980392,TMLCC0118-bphysics,2.8377466238 (21),
981137,MontreeJ,2.8387793278 (22),
986228,Chayanon,2.8407221966 (23),
987083,Thanapat,2.8416206892 (24),
984103,wachirapongr,2.8418642334 (25),
980429,hairchickenfit,2.8443202517 (26),
987552,bay,2.8489823118 (27),
987290,ichatnun,2.8561682054 (28),
985488,Namjai,2.8600040628 (29),
979677,litapi,2.8622226892 (30),
983455,atistarn,2.8635133018 (31),
983962,kangkengkhadev,2.8734265029 (32),
975352,niti,2.8780873045 (33),
986967,KoffeePhysicist,2.8780963901 (34),
984666,newanagata,2.8782540618 (35),
975558,TMLCC0623,2.8792917279 (36),
977965,Rungroj,2.8840361680 (37),
984034,Napatnicky,2.8876869966 (38),
982240,Tagon,2.8889549232 (39),
983218,Chatmethar,2.8893780808 (40),
985182,kwankoravich,2.8973579077 (41),
983625,Linli2012,2.9043167133 (42),
976447,hairchickenfit,2.9056872945 (43),
986182,jennyjirat,2.9090800217 (44),
987566,SF_Biw,2.9096338679 (45),
982428,LifeOfPrime,2.9098724675 (46),
985664,TMLCC0147,2.9100189298 (47),
984474,Anann,2.9226383623 (48),
981122,thanaphatlertmo,2.9236648994 (49),
982708,Acriminal,2.9240129251 (50),
978042,Nattanai,2.9325991896 (51),
977383,worameth,2.9327273574 (52),
987549,panatchakorn_a,2.9405958942 (53),
983637,TMLCC1034-team,2.9411918275 (54),
983655,weeriya,2.9411918275 (54),
986470,kookkikkp,2.9419974295 (55),
981852,punny_eiei,2.9448422040 (56),
975220,winezazaza,2.9490199552 (57),
976917,Rungroj,2.9545250603 (58),
987032,ssingsen,2.9570368844 (59),
983831,pariwutF,2.9570368844 (59),
984229,surat,2.9649584610 (60),
984263,TMLCC0770,2.9760016915 (61),
978036,Marine38,2.9779876926 (62),
985551,Natthaphon.Tac,2.9779987156 (63),
987192,Wachi,2.9816209388 (64),
983841,gunsodo,2.9861397606 (65),
983896,TMLCC0071-auuuuum,2.9862720659 (66),
987573,Jiraphat_thongyoo,2.9904452630 (67),
982625,pacharapaul,2.9908983374 (68),
975384,Run,2.9935441535 (69),
975553,littlerabbit39,3.0200502211 (70),
987436,LinuxGuy,3.0296783846 (71),
983009,poomchantara,3.0471119865 (72),
987094,earthium,3.0475060900 (73),
987504,namirinz,3.0591539451 (74),
977728,pawit,3.0609462125 (75),
987412,JiraPit,3.0686115742 (76),
987488,wdmk,3.0949370113 (77),
979753,Pongsakon,3.0997848550 (78),
978847,blackpotter,3.0997848550 (78),
976255,Inatt,3.0997848550 (78),
986993,Tananop,3.1036802645 (79),
976663,Jarunyawat,3.1218898464 (80),
976659,Jarunyawat,3.1218898464 (80),
987548,paopeaw,3.1276681282 (81),
976883,stpayu,3.1277155078 (82),
983185,namsarad,3.1281395545 (83),
977937,wittchaya,3.1331990731 (84),
977916,sitthisak,3.1331990731 (84),
983849,TMLCC0948-sirawizz,3.1350532442 (85),
975088,Tagon,3.1504333770 (86),
987392,Varinpond,3.1529667387 (87),
976009,worameth,3.1568832935 (88),
985591,Preawtienj,3.1693934231 (89),
978976,nontawat.p,3.1736187639 (90),
987073,Glao,3.1942248302 (91),
984468,korawin_nb,3.1976488596 (92),
980241,Tak_nb,3.1976488596 (92),
987411,nutnai,3.2030768634 (93),
986406,jjim,3.2068100213 (94),
981384,Pa1,3.2139727635 (95),
986960,TMLCC0761,3.2198962300 (96),
987527,Parinthon_Nearmnala,3.2642706054 (97),
987486,Karn,3.2666088966 (98),
980088,Chayawat,3.2934161739 (99),
983267,TMLCC0894,3.2941654163 (100),
982611,ignorance,3.2941654163 (100),
984803,TMLCC1037-teerachote,3.2999054603 (101),
975581,Jirayut,3.3047098165 (102),
985789,Ongsa12342,3.3069371715 (103),
975682,amaZe,3.3157284790 (104),
975972,EntropyP,3.3197938773 (105),
986118,Tarastream,3.3215540351 (106),
987310,Thanaboon,3.3241028554 (107),
987067,Hand,3.3322435387 (108),
987262,Teekhathat,3.3397171312 (109),
981256,AlphaMOF,3.3403216232 (110),
987049,For_raiden,3.3493235265 (111),
987439,Trin_nithiroj,3.3548232089 (112),
978103,Kasame,3.3613205981 (113),
979835,aaaaaaa,3.3672641470 (114),
980317,Rattanaphon.C,3.3679897354 (115),
985183,kasidit,3.3811331178 (116),
984484,thummarat,3.3966597235 (117),
979578,Chanati.Jan,3.3989421764 (118),
975386,Srisuphadith,3.4108630389 (119),
975864,Chayapol,3.4135317338 (120),
975876,Askas,3.4135317338 (120),
987539,TMLCC092-sarun,3.4292429331 (121),
987492,TMLCC0995-suphakorn.s,3.4472771064 (122),
987360,fam,3.4570860710 (123),
986336,TMLCC0332_JameWM,3.4620697964 (124),
980596,Auto_veerapat,3.4771130419 (125),
985848,dheerapat,3.4831979603 (126),
980261,Natthapol,3.4913984925 (127),
986612,tonedev,3.4917185656 (128),
987397,TMLCC0677Tanaket,3.4946739710 (129),
987391,TMLCC0661-nutchanun1,3.4946739710 (129),
986334,nuttanai,3.5031925730 (130),
983557,ratchanon,3.5111756189 (131),
987476,MooNey,3.5149309863 (132),
982273,TMLCC0257,3.5240076038 (133),
987523,oshi,3.5241321775 (134),
975830,DanaiSaengbuamad,3.5315678190 (135),
974960,chem_1,3.5330103951 (136),
981792,Rattametb,3.5337289939 (137),
987079,zixsf,3.5384063035 (138),
984296,apisith.won,3.5403786283 (139),
986199,mano_,3.5529915322 (140),
987245,daranpop.s,3.5537500275 (141),
985445,MeenN,3.5567502826 (142),
986149,Poobodin_mano,3.5579742122 (143),
986462,lappawat,3.5746426840 (144),
984780,khunball,3.5906216290 (145),
985861,Pakcheera,3.5923105224 (146),
986662,RuffLogix,3.6045548394 (147),
987211,ibzzsfw,3.6191614705 (148),
986318,Nuttawat,3.6285432899 (149),
978027,Banyaphon,3.6631157053 (150),
983399,TMLCC0977,3.6702814503 (151),
982694,swuicj,3.6805183433 (152),
987105,karn1412,3.6844131060 (153),
987499,yongyut.lam,3.6928637854 (154),
979653,swuicj,3.6981037409 (155),
985977,TMLCC1125,3.7005212182 (156),
987113,pchinave,3.7095370124 (157),
981953,tanupat,3.7379631754 (158),
982809,asuyama,3.7486440834 (159),
987099,Panawat,3.7489455569 (160),
977805,my99n,3.7589941799 (161),
986305,PatrickChoDev,3.7617089967 (162),
979848,TaLaUn,3.7980941672 (163),
984520,t0p_,3.8407883158 (164),
986338,portunwa,3.8715049263 (165),
986104,Nooperman,3.9267039724 (166),
986086,Weerawich,3.9267039724 (166),
986335,phoramint.cpe,3.9418954891 (167),
985807,Shinsuphan,3.9608865156 (168),
983441,neonaht,3.9861019930 (169),
986196,TMLCC0457-PooN.Thitiwarada,4.0026744923 (170),
987188,apimuk25,4.0284247999 (171),
985886,phoenix2004,4.1283750268 (172),
982858,Mingkwan1,4.2286291214 (173),
977882,Acriminal,4.2287657025 (174),
975381,TaLaUn,4.2337516195 (175),
983628,Tao_np,4.2421379848 (176),
978446,trinveerasiri,4.2523575153 (177),
985003,Nutthapong,4.2820184340 (178),
987072,Monthisaw,4.3049218862 (179),
983778,Thanaphon,4.4541853902 (180),
973506,chem_2,4.5183505462 (181),
985925,Kotchakorn,4.5960702601 (182),
973478,Chanat,4.9572471926 (183),
973786,rk1993,4.9600735784 (184),
973488,Chayapat,4.9709778219 (185),
981671,chemkontukthii,6.1017248105 (186),
981653,chemkontukthii,6.1017248105 (186),
986007,charmingchoops,8.4782665440 (187),
987162,reebbeer,12.5577733388 (188),
