submission_pk,User,Overall Accuracy
997067,G2103203C,0.86233 (1),
993389,G2004367K,0.86050 (2),
997851,G2103993K,0.85700 (3),
995692,G2101141D,0.85500 (4),
1001702,Nirvi,0.85350 (5),
996071,G2004672G,0.85317 (6),
991748,G2104201A,0.85317 (6),
996812,G2102066H,0.85217 (7),
992184,G2004466D,0.85217 (7),
994709,G2101104C,0.85100 (8),
991507,G2104007A,0.85067 (9),
1001667,G2004710E,0.84683 (10),
988722,G2100537D,0.84650 (11),
1000460,G2100581A,0.84550 (12),
997666,G2104205L,0.84550 (12),
988297,G2102948B,0.84483 (13),
996814,G2102540G,0.84300 (14),
996715,G2102921E,0.84217 (15),
1000037,G2004577A,0.84133 (16),
1000893,G2004711B,0.84050 (17),
997359,G2004388C,0.84033 (18),
996981,G2104173A,0.83917 (19),
1001002,G2103982D,0.83800 (20),
999522,G2100614H,0.83750 (21),
1001860,G2104092J,0.83733 (22),
989250,G2100524D,0.83600 (23),
1001783,G2004598E,0.83583 (24),
996894,G2004728A,0.83583 (24),
991379,G2104043E,0.83550 (25),
1001831,G2104106F,0.83533 (26),
991932,G2102740L,0.83500 (27),
1000076,G2102539D,0.83483 (28),
1001023,G2002097C,0.83417 (29),
988582,G2004715A,0.83400 (30),
977211,G2100521B,0.83400 (30),
998624,G2001813L,0.83383 (31),
1001793,G2104285F,0.83317 (32),
996149,G2004510A,0.83250 (33),
1000944,G2004670B,0.83117 (34),
999411,G2103576H,0.83100 (35),
1001979,G2004492K,0.83033 (36),
1001882,LIU_XUANYI,0.83017 (37),
995336,G2103967D,0.82950 (38),
997545,G2104063A,0.82883 (39),
997039,G2004659A,0.82850 (40),
999725,G2104157D,0.82817 (41),
991174,G2102735J,0.82800 (42),
1001467,G2104008J,0.82717 (43),
1001724,G2103178E,0.82683 (44),
993109,G2104240G,0.82650 (45),
999870,_4666H,0.82633 (46),
998693,G2004831L,0.82500 (47),
1000560,G2100610J,0.82483 (48),
977487,G2100654L,0.82350 (49),
997844,G2004532B,0.82333 (50),
997537,G2103068E,0.82317 (51),
1000599,pasquale001,0.82217 (52),
1001879,G2004724B,0.82200 (53),
977414,G2102963B,0.82200 (53),
1001250,YUCHEN005,0.82133 (54),
999234,G2004377H,0.82133 (54),
996039,G2004364H,0.82083 (55),
999554,G2004597H-,0.82000 (56),
985528,G2000661L,0.81950 (57),
997505,G2103169D,0.81850 (58),
988765,G2004771A,0.81850 (58),
992398,G2100630E,0.81833 (59),
992967,HanXiangC,0.81767 (60),
998243,G2100605G,0.81700 (61),
993471,G2104286C,0.81683 (62),
986731,noah820,0.81683 (62),
996587,G2104180H,0.81667 (63),
973664,G2104276E,0.81650 (64),
1002017,G2004664C,0.81617 (65),
1001684,G2004539C,0.81483 (66),
992738,G2100506B,0.81483 (66),
990672,G21031141,0.81483 (66),
998030,G2103603L,0.81300 (67),
1001839,G2103181B,0.81267 (68),
1002214,G2004621J,0.81250 (69),
1001743,G2004397D,0.81250 (69),
1000051,G2102736F,0.81133 (70),
1000502,_02893,0.81050 (71),
990808,G2004383G,0.81033 (72),
1001442,Xiaosheng,0.81017 (73),
989518,G1903466C,0.80917 (74),
1000999,G1903520J,0.80850 (75),
995650,G2100647D,0.80783 (76),
1002177,G2102568A,0.80717 (77),
992541,G2004541C,0.80683 (78),
1001303,G2100904E,0.80667 (79),
998534,G2004543H,0.80600 (80),
1001526,G2004722H,0.80583 (81),
1001584,G2004578J,0.80567 (82),
1001633,G2004423K,0.80533 (83),
1000342,G2104129D,0.80500 (84),
994313,G2103897G,0.80367 (85),
1001722,G1903393D,0.80350 (86),
994829,G2102563E,0.80300 (87),
999682,G2104001H,0.80200 (88),
1002102,G2104054L,0.80183 (89),
994766,G2004593J,0.80133 (90),
997668,G2000689E,0.80117 (91),
988057,G2102969F,0.80117 (91),
991548,G2001495C,0.80100 (92),
1002242,G2103002B,0.80067 (93),
1001709,G2102983J,0.80050 (94),
997093,G2104019D,0.80050 (94),
994174,ntu04077,0.80017 (95),
978639,G2101385K,0.80000 (96),
995287,G2102549B,0.79517 (97),
1002184,G2104014H,0.79300 (98),
996986,G2104248E,0.79300 (98),
999070,SHUAI004,0.79167 (99),
998326,G2004646A,0.79033 (100),
991844,G2103122L,0.78917 (101),
1001970,G2103151H,0.78300 (102),
999784,G2104202J,0.78233 (103),
995801,G2004391L,0.77583 (104),
992876,G2100687G,0.77550 (105),
998942,G2103211G,0.77467 (106),
998154,G2103014E,0.77083 (107),
1001821,G2003146K,0.76583 (108),
1002239,G2104125E,0.76500 (109),
1000886,G2004733C,0.75850 (110),
990716,ThorShockU,0.75433 (111),
1001746,G2100797G,0.74017 (112),
1001229,G2104026L,0.73417 (113),
1002292,G2104105J,0.73017 (114),
980021,G2104241D,0.72117 (115),
