submission_pk,User,TEST AUC,TEST SENS.,TEST SPEC.,AVG. VAL AUC
984656,qinchen13579,88.44 (1),58.33 (3),95.13 (1),82.71 (3),
985167,jharvill23,87.26 (2),63.33 (1),95.13 (1),85.79 (1),
987125,Ritwik2706,86.87 (3),58.33 (3),95.13 (1),83.42 (2),
984449,s.syed,85.79 (4),33.33 (9),95.13 (1),50.00 (10),
987233,deepak242424,85.37 (5),60.00 (2),95.13 (1),78.39 (6),
985961,dicova,84.70 (6),55.00 (4),95.13 (1),81.67 (4),
986049,EIHW-MTG,84.26 (7),38.33 (7),95.13 (1),78.06 (7),
985781,arbitrary,83.78 (8),46.67 (5),95.13 (1),81.60 (5),
987115,evaluation,80.51 (9),40.00 (6),95.13 (1),77.79 (8),
984639,I_SPY_AI,74.15 (10),35.00 (8),95.13 (1),60.06 (9),
