submission_pk,User,Accuracy Score,Ranking Score
1087913,tt123,0.68900 (1),0.80700 (1),
1087626,stce,0.65400 (4),0.78500 (2),
1087718,huangwkk,0.63100 (6),0.77400 (3),
1086128,Yinglu_Li,0.66100 (2),0.77400 (3),
1086081,tiantaijian,0.66100 (2),0.76300 (4),
1087872,mohammadmahdinoori,0.62400 (7),0.70700 (5),
1081360,huawei_zhangmin,0.58900 (10),0.64000 (6),
1087141,tanigaki,0.39500 (19),0.41500 (7),
1087830,niksss,0.44200 (17),0.25200 (8),
1087909,patrickliu2011,0.46600 (14),0.19400 (9),
1087747,lith,0.53700 (12),0.00600 (10),
1087642,ywzhang_cr,0.53700 (12),0.00600 (10),
1087944,hudou,0.64100 (5),0.00000 (11),
1087843,OrangeAvocado,0.61400 (8),0.00000 (11),
1086435,Sakrah,0.53300 (13),0.00000 (11),
1087649,fanxiaoxing,0.65600 (3),0.00000 (11),
1087473,SelinaIW,0.45600 (16),0.00000 (11),
1086014,CitizenTano,0.59500 (9),0.00000 (11),
1084308,Autism_PAFC,0.46100 (15),0.00000 (11),
1083271,parkwonjae,0.55400 (11),0.00000 (11),
1087651,andrei.manea,0.41800 (18),-0.10900 (12),
