submission_pk,User,T1 F1 Score,T1 Precision,T1 Recall,T1 Task Score
1028246,jivnesh,88.635 (1),88.549 (1),89.039 (2),89.039 (2),
1027619,LGirrbach,86.708 (2),84.238 (2),89.326 (1),89.326 (1),
1028247,Asha,44.334 (3),44.848 (3),44.801 (3),44.801 (3),
1028253,Blackfooted,25.485 (4),24.356 (4),26.975 (4),26.975 (4),
1028251,Manas_P_P,- (5),- (5),- (5),- (5),
submission_pk,User,T2 F1-Score,T2 Precision,T2 Recall,T2 Task Score
1027619,LGirrbach,91.486 (1),91.494 (1),91.478 (1),94.717 (1),
1028251,Manas_P_P,53.160 (2),53.160 (2),53.160 (2),72.625 (2),
1028253,Blackfooted,0.835 (3),0.835 (3),0.835 (3),14.298 (3),
1028247,Asha,- (4),- (4),- (4),- (4),
1028246,jivnesh,- (4),- (4),- (4),- (4),
submission_pk,User,T3 F1 Score,T3 Precision,T3 Recall,T3 Task Score
1027619,LGirrbach,84.494 (1),83.692 (1),85.311 (1),80.496 (1),
1028253,Blackfooted,4.886 (2),4.980 (2),4.840 (2),51.043 (2),
1028251,Manas_P_P,- (3),- (3),- (3),- (3),
1028247,Asha,- (3),- (3),- (3),- (3),
1028246,jivnesh,- (3),- (3),- (3),- (3),
