submission_pk,User,mIoU,ExecutionTime
1067531,joyjia0413,0.537882 (1),187.359 (16),
1066854,zlq,0.535020 (2),237.315 (7),
1039067,yjh,0.525305 (3),193.498 (15),
1059198,YuanzhiCAI,0.524065 (4),187.234 (17),
1042494,yzr,0.513647 (5),290.712 (2),
1042097,cveo,0.512195 (6),237.808 (6),
1056884,heinz12365,0.511092 (7),216.953 (11),
1030655,kingdrone,0.507570 (8),283.345 (4),
1042166,gdq,0.507342 (9),234.855 (8),
1046812,mcmong,0.503914 (10),201.321 (13),
1028909,yulin,0.497947 (11),283.452 (3),
1035056,leahyyy,0.493932 (12),292.240 (1),
1056429,Pope.Zheng,0.484531 (13),207.587 (12),
1034379,zlyzd,0.483128 (14),218.767 (10),
1032744,yydd,0.475560 (15),223.021 (9),
1033226,hhhan,0.441571 (16),178.492 (18),
1040302,avinash_nesac,0.418964 (17),243.210 (5),
1042860,wangtong,0.350873 (18),197.537 (14),
1032335,omar1234,0.000000 (19),0.000 (19),
