submission_pk,User,T1+T2 nDCG@10 (test),T1+T2 HR@10 (test),T1+T2 nDCG@10 (validation),T1+T2 HR@10 (validation),T1 nDCG@10 (test),T2 nDCG@10 (test)
1076521,young_simple,0.6773 (1),0.7869 (1),0.6611 (20),0.7777 (16),0.7384 (4),0.6472 (1),
1076534,fish_,0.6765 (2),0.7860 (2),0.6627 (13),0.7726 (21),0.7393 (2),0.6457 (2),
1076537,Wanna,0.6763 (3),0.7859 (3),0.6627 (13),0.7726 (21),0.7393 (2),0.6453 (3),
1075892,biubiubiu,0.6746 (4),0.7800 (10),0.6626 (14),0.7772 (17),0.7395 (1),0.6427 (8),
1076342,asakusa,0.6743 (5),0.7815 (7),0.6553 (24),0.7642 (25),0.7364 (8),0.6438 (4),
1076474,zhangqibot,0.6739 (6),0.7819 (6),0.6618 (19),0.7807 (13),0.7384 (4),0.6422 (10),
1076452,VCcorpVN,0.6739 (7),0.7804 (9),0.8506 (5),0.9674 (5),0.7363 (9),0.6431 (5),
1076480,Fizzer,0.6738 (8),0.7781 (18),0.6626 (15),0.7759 (18),0.7392 (3),0.6417 (13),
1076441,vitsieunhan98,0.6737 (9),0.7805 (8),0.4824 (85),0.6359 (77),0.7358 (14),0.6431 (5),
1072623,elonwong,0.6737 (10),0.7820 (5),0.6621 (18),0.7803 (14),0.7382 (6),0.6420 (12),
1076445,Boykaaa,0.6737 (11),0.7804 (9),0.4824 (85),0.6359 (77),0.7361 (11),0.6430 (7),
1076535,G13Destroyer,0.6735 (12),0.7841 (4),0.6639 (12),0.7747 (19),0.7354 (17),0.6430 (6),
1076429,Locnqvn,0.6733 (13),0.7796 (12),0.4824 (85),0.6359 (77),0.7361 (10),0.6424 (9),
1075637,GrandRookie,0.6730 (14),0.7794 (13),0.6510 (33),0.7615 (29),0.7356 (16),0.6422 (11),
1075737,ContestKing,0.6726 (15),0.7799 (11),0.6625 (16),0.7715 (22),0.7377 (7),0.6406 (19),
1075206,GT,0.6725 (16),0.7783 (17),0.6510 (33),0.7615 (29),0.7350 (19),0.6417 (14),
1076140,Hie,0.6718 (17),0.7793 (14),0.6523 (29),0.7610 (30),0.7343 (21),0.6411 (15),
1076160,duonglegiang,0.6718 (18),0.7792 (15),0.6523 (29),0.7610 (30),0.7344 (20),0.6410 (17),
1076118,Hieulm,0.6716 (19),0.7791 (16),0.5491 (73),0.7435 (37),0.7338 (23),0.6410 (16),
1076125,Khanh,0.6715 (20),0.7791 (16),0.6622 (17),0.7778 (15),0.7338 (23),0.6409 (18),
1075944,now_you_see_me,0.6694 (21),0.7744 (20),0.6595 (21),0.7673 (23),0.7360 (13),0.6366 (23),
1075748,yrqUni,0.6692 (22),0.7712 (24),0.6502 (34),0.7626 (27),0.7340 (22),0.6372 (21),
1071470,glassy,0.6684 (23),0.7742 (21),0.6421 (39),0.7408 (38),0.7295 (29),0.6383 (20),
1076231,wentixiaogege,0.6683 (24),0.7716 (23),0.6482 (35),0.7598 (32),0.7320 (26),0.6370 (22),
1074598,doubleQ,0.6680 (25),0.7756 (19),0.6445 (36),0.7508 (35),0.7360 (12),0.6345 (25),
1076257,gausschen,0.6679 (26),0.7675 (28),0.6565 (22),0.7631 (26),0.7323 (25),0.6362 (24),
1075909,gaohailiang,0.6677 (27),0.7725 (22),0.6528 (27),0.7615 (29),0.7382 (5),0.6330 (27),
1074858,nomaster,0.6663 (28),0.7682 (26),0.6520 (30),0.7621 (28),0.7351 (18),0.6324 (28),
1070233,Pcalab-KMG,0.6663 (29),0.7679 (27),0.6516 (32),0.7607 (31),0.7357 (15),0.6321 (29),
1073599,slmu,0.6653 (30),0.7689 (25),0.6543 (25),0.7648 (24),0.7298 (28),0.6336 (26),
1064051,yuconan,0.6617 (31),0.7609 (30),0.6296 (44),0.7260 (44),0.7230 (31),0.6316 (30),
