submission_pk,User,F1,Precision,Recall
1121699,pvf,0.715 (1),0.715 (1),0.723 (1),
1120752,mekki,0.680 (2),0.686 (2),0.693 (2),
1120185,amuna,0.673 (3),0.671 (4),0.693 (3),
1099554,lisaterumi,0.672 (4),0.684 (3),0.669 (4),
1091468,emanuela.boros,0.612 (5),0.621 (5),0.620 (5),
1086668,oriuta,- (6),- (6),- (6),
1086688,Fadi,- (6),- (6),- (6),
1087028,dima,- (6),- (6),- (6),
1087046,omnifish_ygb,- (6),- (6),- (6),
1087045,hrouhizadeh,- (6),- (6),- (6),
1087032,yuenpinglynn,- (6),- (6),- (6),
1087021,bond005,- (6),- (6),- (6),
1087020,csecudsg,- (6),- (6),- (6),
1086988,dedsec,- (6),- (6),- (6),
1086776,sliced,- (6),- (6),- (6),
1082428,au1206,- (6),- (6),- (6),
1086436,bdchen,- (6),- (6),- (6),
1086253,zackchen,- (6),- (6),- (6),
1086167,robvanderg,- (6),- (6),- (6),
1084414,zhangxinghua_iie,- (6),- (6),- (6),
1084310,ehsan.tavan,- (6),- (6),- (6),
1080907,dipteshkanojia,- (6),- (6),- (6),
1083507,JessePi,- (6),- (6),- (6),
1083021,CestDoDo,- (6),- (6),- (6),
1082615,smartwatch,- (6),- (6),- (6),
1081257,yangchenleon,- (6),- (6),- (6),
1081074,YanjunYu,- (6),- (6),- (6),
1080937,asahi417,- (6),- (6),- (6),
1080853,xupypr1111,- (6),- (6),- (6),
