submission_pk,User,b'F1 (Fine-grained)',b'Precision (Fine-grained)',b'Recall (Fine-grained)',b'F1 (Coarse-grained)',b'Precision (Coarse-grained)',b'Recall (Coarse-grained)'
312970,Anonymous,0.837 (1),0.837 (1),0.866 (1),0.930 (1),0.929 (1),0.933 (1),
312785,Anonymous,0.814 (2),0.821 (2),0.823 (3),0.904 (2),0.918 (2),0.892 (3),
308014,Anonymous,0.802 (3),0.811 (3),0.807 (4),0.896 (3),0.907 (3),0.886 (6),
312478,Anonymous,0.790 (4),0.774 (4),0.825 (2),0.857 (9),0.844 (9),0.871 (9),
312771,Anonymous,0.772 (5),0.765 (5),0.796 (7),0.870 (6),0.868 (5),0.873 (8),
311817,Anonymous,0.770 (6),0.760 (6),0.800 (6),0.888 (4),0.884 (4),0.893 (2),
303932,Anonymous,0.763 (7),0.745 (7),0.804 (5),0.876 (5),0.867 (6),0.887 (5),
309109,Anonymous,0.732 (8),0.708 (8),0.793 (8),0.869 (7),0.852 (7),0.888 (4),
309131,Anonymous,0.726 (9),0.703 (9),0.787 (9),0.866 (8),0.850 (8),0.885 (7),
305126,Anonymous,0.705 (10),0.701 (10),0.741 (10),0.844 (10),0.844 (10),0.847 (11),
312182,Anonymous,0.689 (11),0.680 (11),0.726 (11),0.807 (13),0.792 (15),0.828 (13),
305474,Anonymous,0.648 (12),0.636 (15),0.695 (12),0.817 (12),0.798 (14),0.840 (12),
312825,Anonymous,0.645 (13),0.636 (14),0.682 (13),0.774 (16),0.775 (17),0.777 (15),
312567,Anonymous,0.644 (14),0.669 (12),0.644 (15),0.792 (15),0.823 (11),0.765 (16),
312549,Anonymous,0.623 (15),0.662 (13),0.605 (16),0.762 (17),0.805 (13),0.725 (18),
311517,Anonymous,0.614 (16),0.590 (16),0.667 (14),0.793 (14),0.777 (16),0.809 (14),
311262,Anonymous,0.560 (17),0.559 (18),0.594 (17),0.732 (18),0.721 (18),0.744 (17),
311957,Anonymous,0.558 (18),0.570 (17),0.594 (18),0.831 (11),0.813 (12),0.852 (10),
309497,Anonymous,0.426 (19),0.526 (19),0.412 (20),0.655 (19),0.697 (19),0.623 (20),
309549,Anonymous,0.413 (20),0.364 (20),0.557 (19),0.574 (20),0.489 (20),0.714 (19),
310703,Anonymous,0.185 (21),0.275 (21),0.154 (22),0.250 (22),0.359 (22),0.198 (22),
308023,Anonymous,0.180 (22),0.141 (22),0.291 (21),0.373 (21),0.401 (21),0.385 (21),
