submission_pk,User,b'PSNR(RGB)',b'PSNR(Y)',b'SSIM(RGB)',b'SSIM(Y)'
372656,xixihaha777,22.3531 (1),24.1146 (1),0.5484 (16),0.6303 (3),
368160,nathan,22.2755 (2),23.8999 (2),0.6555 (1),0.6848 (1),
371480,csbhr,21.9490 (3),23.5708 (3),0.6030 (2),0.6311 (2),
369752,xiaozhazha,21.8351 (4),23.4341 (4),0.5980 (3),0.6258 (4),
369010,AlexZou,21.8026 (5),23.4194 (5),0.5916 (5),0.6230 (6),
372647,webbzhou,21.7676 (6),23.3841 (6),0.5885 (6),0.6207 (8),
363664,HuanZheng,21.7396 (7),23.3545 (7),0.5882 (7),0.6216 (7),
371949,BigTree,21.7234 (8),23.3411 (8),0.5958 (4),0.6239 (5),
370071,ycc6,21.6973 (9),23.3211 (9),0.5811 (8),0.6153 (9),
371051,ArcticFall,21.5162 (10),23.1408 (10),0.5763 (11),0.6060 (14),
372632,laotie,21.4845 (11),23.1120 (11),0.5761 (12),0.6063 (13),
366678,Wedream,21.4829 (12),23.1094 (12),0.5732 (15),0.6034 (16),
372124,ferry,21.4690 (13),23.0755 (13),0.5805 (9),0.6099 (10),
368647,xingzhe,21.4462 (14),23.0700 (14),0.5733 (14),0.6049 (15),
370709,BingXi,21.2157 (15),22.7998 (15),0.5771 (10),0.6093 (11),
371334,zhazhahui,21.0942 (16),22.6950 (16),0.5752 (13),0.6083 (12),
370280,ChengzhiCao,20.7199 (17),22.5314 (17),0.4915 (17),0.5465 (17),
369306,super111,20.7010 (18),22.5271 (18),0.4883 (18),0.5442 (18),
365633,sumhhhh,19.4804 (19),21.9034 (19),0.4465 (19),0.5265 (19),
