submission_pk,User,b'correct'
361187,tzhhhh123,0.697485 (1),
361186,Undefined,0.687670 (2),
361165,SIA_Ryu,0.679922 (3),
361190,zsl,0.678342 (4),
360351,soro,0.676772 (5),
359856,shan666,0.670922 (6),
360451,stephenx24,0.670584 (7),
359070,Silverfall,0.669228 (8),
360171,shubo-nlpr,0.667165 (9),
359790,MinkiSong,0.667025 (10),
361057,Carl_Huang,0.665827 (11),
358013,ZLoading,0.658089 (12),
356844,Zhencheng_Yu,0.656587 (13),
358143,LN666,0.652441 (14),
358641,quarryman,0.652406 (15),
356804,HIT_HH,0.647380 (16),
361011,Feioveuler,0.646855 (17),
357036,Peace,0.644944 (18),
356654,xjtuwh,0.643941 (19),
358766,hsansui,0.640637 (20),
360789,nwpugx,0.639337 (21),
359911,South,0.638097 (22),
361108,gxx,0.637710 (23),
360424,D1anskr,0.634195 (24),
360061,ZYBK,0.634111 (25),
360102,WTP111,0.627551 (26),
359602,UNTIUAV,0.627477 (27),
359537,SSY,0.627288 (28),
357457,QJYN,0.627238 (29),
361121,Kunlong,0.626757 (30),
357016,u7355608,0.622297 (31),
360987,njulxy,0.621308 (32),
360521,xuboyue,0.621308 (32),
359333,Sykai,0.607936 (33),
358964,phoniex,0.606983 (34),
361023,uspcc,0.603337 (35),
356696,liyifan,0.599285 (36),
361015,antiUAV,0.583899 (37),
358292,rchou,0.580983 (38),
359395,Reresearcher,0.577637 (39),
360957,noob56,0.576886 (40),
357153,slt-0,0.568696 (41),
356905,xcl,0.562501 (42),
359780,morale,0.532062 (43),
360208,AiWaitMe,0.521585 (44),
360433,iit_tirupati,0.520165 (45),
361184,JasonHsieh,0.491658 (46),
356980,qwe986020091,0.463541 (47),
360161,liuaj,0.458223 (48),
360540,izhangjing,0.450982 (49),
355414,qhl,0.320715 (50),
309737,aoao_1996,0.315547 (51),
