submission_pk,User,b'Average Macro F1',b'Precision HS',b'Recall HS',b'F1 HS',b'Precision NHS',b'Recall NHS',b'F1 NHS'
380369,haanh764,0.9161 (1),0.8671 (2),0.9133 (1),0.8896 (1),0.9555 (1),0.9300 (6),0.9426 (1),
380200,JL_DomOlmedo,0.7437 (2),0.9091 (1),0.4667 (4),0.6167 (5),0.7855 (5),0.9767 (2),0.8707 (2),
381114,zahraahani,0.7430 (3),0.6215 (7),0.7333 (3),0.6728 (2),0.8535 (2),0.7767 (8),0.8133 (6),
362915,moeintash,0.7238 (4),0.5864 (8),0.7467 (2),0.6569 (3),0.8533 (3),0.7367 (9),0.7907 (8),
379005,ronghao,0.7103 (5),0.5699 (9),0.7333 (3),0.6414 (4),0.8444 (4),0.7233 (10),0.7792 (10),
371463,honghanhh,0.7034 (6),0.7765 (5),0.4400 (5),0.5617 (6),0.7699 (6),0.9367 (5),0.8451 (3),
381227,juanmanuel.calvo,0.6626 (7),0.8361 (3),0.3400 (6),0.4834 (7),0.7455 (7),0.9667 (3),0.8418 (4),
381073,varsha2010399,0.5913 (8),0.8293 (4),0.2267 (7),0.3560 (8),0.7164 (8),0.9767 (2),0.8265 (5),
361022,aswathyprem,0.4864 (9),0.7368 (6),0.0933 (9),0.1657 (10),0.6845 (9),0.9833 (1),0.8071 (7),
380380,Mesay,0.4815 (10),0.3333 (10),0.1667 (8),0.2222 (9),0.6667 (10),0.8333 (7),0.7407 (11),
375265,mgraffg,0.4198 (11),0.2500 (11),0.0333 (10),0.0588 (11),0.6628 (11),0.9500 (4),0.7808 (9),
