submission_pk,User,b'Bleu_1',b'Bleu_2',b'Bleu_3',b'Bleu_4',b'ROUGE_L',b'CIDEr',b'METEOR',b'spice'
377698,jinx,28.8704 (7),18.0759 (4),11.8021 (4),7.9412 (3),33.6056 (2),105.1741 (1),15.0181 (2),25.5053 (1),
382702,challang,34.2919 (2),21.0656 (1),13.5727 (1),8.8228 (1),35.9422 (1),100.5492 (2),14.9280 (3),23.0348 (3),
377544,TXHmercury,24.6955 (14),15.3321 (10),10.0084 (7),6.7545 (6),31.3756 (5),93.6787 (3),13.3528 (5),24.1939 (2),
384674,kyominhwang,30.9339 (4),19.0301 (3),12.1078 (3),7.8808 (4),31.8131 (4),90.4220 (4),14.7170 (4),22.9685 (4),
377404,danielchoi,34.7378 (1),20.8126 (2),13.0640 (2),8.1929 (2),32.4986 (3),86.2630 (5),15.1448 (1),22.1434 (5),
380656,stack-top,24.5913 (15),14.4997 (12),9.0661 (11),5.7776 (10),29.6768 (7),81.0353 (6),12.4421 (12),21.6317 (6),
382730,PEJI,27.6878 (10),16.0223 (9),9.8357 (8),6.2141 (7),29.1859 (8),79.3865 (7),12.9460 (10),20.5242 (8),
381262,sungbin.son,30.4841 (5),17.8230 (5),10.9877 (5),6.8747 (5),29.8186 (6),79.2796 (8),13.2896 (7),20.2141 (9),
374527,zero_score,31.0888 (3),17.2752 (6),10.1812 (6),6.1441 (8),28.5859 (9),71.1032 (9),13.0286 (8),18.8875 (15),
384467,Mtop,29.5899 (6),16.2708 (8),9.5922 (9),5.8150 (9),27.8247 (10),68.4034 (10),12.4414 (13),18.0992 (17),
351937,ganggang,24.1951 (21),14.0425 (14),8.5262 (14),5.3737 (13),25.4016 (14),66.6336 (11),12.9820 (9),20.6438 (7),
335483,sullae,24.2705 (19),14.1932 (13),8.6469 (13),5.4575 (11),25.0957 (15),62.6594 (12),12.7058 (11),19.9002 (10),
374828,biancco,28.1438 (9),15.2590 (11),8.9512 (12),5.3351 (14),26.5099 (12),61.5447 (13),11.5841 (20),16.6713 (22),
356699,sngwon,22.9311 (26),12.8568 (21),7.7385 (20),4.8254 (20),23.7659 (19),60.7651 (14),12.0911 (17),19.4134 (11),
366253,Yebin46,22.9100 (28),12.8439 (23),7.7456 (18),4.8342 (18),23.7445 (20),60.6361 (15),12.0782 (18),19.3823 (12),
319381,yongsu23,22.9187 (27),12.8461 (22),7.7343 (21),4.8286 (19),23.7368 (21),60.6294 (16),12.0714 (19),19.3511 (13),
342466,do0ori,24.3131 (17),13.5229 (18),8.0285 (16),4.9079 (16),24.0417 (18),60.4539 (17),12.3873 (14),19.1340 (14),
