submission_pk,User,b'PSNR',b'SSIM',b'Runtime per image [s]',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
372293,AndrewPu,31.1687 (5),0.86 (5),-1.00 (1),-1.00 (6),-1.00 (1),
371367,bjckwrn,27.9501 (31),0.78 (31),-1.00 (1),-1.00 (6),-1.00 (1),
371198,ycc6,30.9665 (11),0.86 (12),-1.00 (1),-1.00 (6),-1.00 (1),
369139,HaoqiangYang,28.3737 (30),0.79 (30),-1.00 (1),-1.00 (6),-1.00 (1),
359795,avengers,28.8896 (29),0.79 (29),-1.00 (1),-1.00 (6),-1.00 (1),
358383,xuebuhui,30.8282 (15),0.86 (16),-1.00 (1),-1.00 (6),-1.00 (1),
372669,Celine,29.8376 (28),0.83 (28),1.24 (9),0.00 (5),0.00 (2),
372234,lidanxu,29.8376 (28),0.83 (28),1.29 (10),0.00 (5),0.00 (2),
371436,chaobaer,30.2254 (24),0.84 (24),0.18 (6),0.00 (5),0.00 (2),
371045,Anjali_Sarvaiya,29.9205 (27),0.84 (26),0.00 (2),0.00 (5),0.00 (2),
370646,cuixuan,30.2649 (23),0.84 (23),0.04 (4),0.00 (5),0.00 (2),
370608,jin1125,31.0548 (10),0.86 (11),0.00 (2),0.00 (5),0.00 (2),
370278,weller1212,30.1791 (25),0.84 (25),0.18 (6),0.00 (5),0.00 (2),
369025,Alex_Huang,30.9324 (12),0.86 (13),0.04 (5),433448.00 (2),0.00 (2),
368851,MahouShoujo,30.6693 (21),0.85 (20),10.00 (18),0.00 (5),0.00 (2),
364988,garasgaras,30.7804 (17),0.85 (18),0.64 (7),0.00 (5),0.00 (2),
364341,XD,30.6986 (19),0.87 (2),1.00 (8),1.00 (4),0.00 (2),
362889,Okami,30.8189 (16),0.86 (14),8.71 (16),0.00 (5),0.00 (2),
358203,MotaLee,30.6765 (20),0.85 (21),1.71 (11),0.00 (5),0.00 (2),
357337,Starseeker,30.7251 (18),0.85 (19),9.86 (17),0.00 (5),0.00 (2),
372689,Bob072,31.2082 (2),0.86 (3),35.73 (23),0.00 (5),1.00 (3),
372610,ZZPM,31.2320 (1),0.87 (1),7.20 (15),0.00 (5),1.00 (3),
372406,Jabir,30.0229 (26),0.84 (27),0.02 (3),198032.00 (3),1.00 (3),
372257,xiaozhazha,31.1629 (7),0.86 (8),10.43 (19),1.00 (4),1.00 (3),
372192,Henryli,31.1812 (3),0.86 (4),90.00 (26),0.00 (5),1.00 (3),
371330,QianhuiLi,31.1812 (3),0.86 (4),50.00 (25),0.00 (5),1.00 (3),
371247,Xy_Chen,31.1676 (6),0.86 (7),36.00 (24),0.00 (5),1.00 (3),
371231,min_gao,30.8507 (14),0.86 (17),1.90 (12),11500000.00 (1),1.00 (3),
370924,lastchance,31.1550 (9),0.86 (9),6.00 (14),0.00 (5),1.00 (3),
370570,UESTC_IPLab,31.1784 (4),0.86 (6),30.00 (21),0.00 (5),1.00 (3),
369765,WeiJiayu,30.6493 (22),0.85 (22),1.98 (13),0.00 (5),1.00 (3),
369111,TaeHyungKim,31.1554 (8),0.86 (10),12.50 (20),0.00 (5),1.00 (3),
369034,trident,30.8671 (13),0.86 (15),33.66 (22),0.00 (5),1.00 (3),
