submission_pk,User,b'PSNR',b'SSIM',b'Runtime per image [s]',b'Parameters',b'Extra Data [1] / No Extra Data [0]'
372545,zuoyi,25.85 (55),0.74 (58),0.56 (32),106968.00 (4),1.00 (1),
372486,sissie,27.00 (33),0.81 (33),0.04 (14),461176.00 (31),1.00 (1),
372344,alan,27.02 (30),0.81 (31),0.04 (16),433448.00 (29),1.00 (1),
372335,clever_frog,27.03 (26),0.81 (25),0.03 (10),351984.00 (25),1.00 (1),
372305,gilfoyle,27.07 (18),0.81 (24),0.01 (2),234120.00 (15),1.00 (1),
372295,Wendy,27.09 (5),0.81 (8),0.02 (4),415000.00 (28),1.00 (1),
372150,Well_Lee,26.79 (51),0.80 (51),0.24 (28),1033448.00 (33),1.00 (1),
372185,lishen,26.95 (40),0.81 (35),0.04 (16),433448.00 (29),1.00 (1),
372156,lxp0_0,26.84 (48),0.80 (49),0.04 (16),433448.00 (29),1.00 (1),
372147,morven,26.93 (42),0.81 (42),0.04 (16),433448.00 (29),1.00 (1),
372081,lllyyywww,26.85 (47),0.81 (47),0.24 (28),1033448.00 (33),1.00 (1),
372015,ysy1022,27.07 (15),0.81 (7),0.10 (26),307488.00 (24),1.00 (1),
371659,Lumos,27.06 (19),0.81 (18),0.04 (17),261868.00 (19),1.00 (1),
371488,playgun,26.94 (41),0.81 (41),0.04 (16),433448.00 (29),1.00 (1),
371420,min_gao,27.74 (1),0.83 (1),5.00 (33),11500000.00 (34),1.00 (1),
371422,m-wq,26.81 (50),0.80 (50),0.04 (16),433448.00 (29),1.00 (1),
371335,Jabir,26.88 (45),0.81 (45),0.03 (8),198032.00 (13),1.00 (1),
370746,yhy_gogo,26.97 (37),0.81 (39),0.18 (27),415000.00 (28),1.00 (1),
370617,garasgaras,26.99 (34),0.81 (34),0.02 (6),274700.00 (21),1.00 (1),
370347,yulei,26.91 (43),0.81 (43),0.04 (16),433448.00 (29),1.00 (1),
370288,AweWoo,26.55 (52),0.80 (52),0.04 (13),183152.00 (11),1.00 (1),
369654,heaseo,27.04 (23),0.81 (21),0.03 (12),285000.00 (22),1.00 (1),
369466,liuxin2,27.08 (9),0.81 (12),0.01 (3),306788.00 (23),1.00 (1),
369361,Jinchen.Z,27.02 (27),0.81 (22),0.08 (22),115248.00 (5),1.00 (1),
369119,Y__Y,27.02 (28),0.81 (28),0.06 (21),173478.00 (8),1.00 (1),
369017,zwyczhang,27.09 (7),0.81 (11),0.09 (25),95396.00 (3),1.00 (1),
368945,DylanPeter,26.88 (44),0.81 (44),0.04 (16),433448.00 (29),1.00 (1),
368929,Bolt,27.09 (7),0.81 (11),0.09 (25),95396.00 (3),1.00 (1),
368921,laonafahaodange,27.05 (20),0.81 (23),0.02 (5),401504.00 (26),1.00 (1),
368569,zhang9317112,27.02 (29),0.81 (19),0.09 (24),244558.00 (16),1.00 (1),
368542,wangxi,27.08 (12),0.81 (17),0.43 (30),433448.00 (29),1.00 (1),
368491,GWu,26.98 (35),0.81 (32),0.50 (31),248300.00 (18),1.00 (1),
368336,ylliu,27.03 (25),0.81 (16),0.05 (20),199922.00 (14),1.00 (1),
368333,TianleLiu,27.09 (6),0.81 (3),0.04 (15),178736.00 (10),1.00 (1),
368120,danny0411,26.50 (53),0.79 (53),0.02 (7),190560.00 (12),1.00 (1),
367841,mingxi,27.08 (11),0.81 (10),0.04 (16),245000.00 (17),1.00 (1),
367050,pensailor,26.09 (54),0.78 (54),0.04 (16),433448.00 (29),1.00 (1),
366935,audi666,25.53 (56),0.76 (55),0.04 (16),433448.00 (29),1.00 (1),
366899,blindbox,26.86 (46),0.81 (46),0.24 (28),1033448.00 (33),1.00 (1),
366827,zero_zoe,26.98 (36),0.81 (37),0.04 (16),433448.00 (29),1.00 (1),
365717,nikolasha,27.07 (17),0.81 (13),0.04 (16),433448.00 (29),1.00 (1),
365580,lhb_666,26.96 (38),0.81 (38),0.04 (16),433448.00 (29),1.00 (1),
365045,lixinpeng,26.82 (49),0.81 (48),0.04 (16),433448.00 (29),1.00 (1),
365042,sunshinedada,27.09 (8),0.81 (9),0.03 (11),406764.00 (27),1.00 (1),
364876,icandle,27.01 (31),0.81 (30),0.03 (9),272224.00 (20),1.00 (1),
364345,stella_von,27.08 (10),0.81 (6),0.08 (23),129177.00 (7),1.00 (1),
363910,zjwu,27.07 (13),0.81 (20),0.04 (18),118243.00 (6),1.00 (1),
363842,yl12345,26.95 (39),0.81 (40),0.04 (16),433448.00 (29),1.00 (1),
362717,ofsoundof,27.11 (4),0.81 (4),0.04 (16),433448.00 (29),1.00 (1),
371869,rishabh_rj11,24.76 (60),0.71 (60),0.02 (6),438448.00 (30),0.00 (2),
370428,zhengmingjun,27.00 (32),0.81 (36),0.05 (19),175883.00 (9),0.00 (2),
370219,MahouShoujo,27.54 (2),0.83 (2),10.00 (34),0.00 (2),0.00 (2),
369021,Alex_Huang,27.07 (16),0.81 (14),0.04 (16),433448.00 (29),0.00 (2),
363793,Nerti,27.11 (3),0.81 (5),0.28 (29),540142.00 (32),0.00 (2),
363417,Golf,27.04 (22),0.81 (26),0.05 (19),175883.00 (9),0.00 (2),
372104,LvJiangtao,27.07 (14),0.81 (15),-1.00 (1),-1.00 (1),-1.00 (3),
372096,zhongbao97,27.05 (21),0.81 (27),-1.00 (1),-1.00 (1),-1.00 (3),
371151,miaokang,27.04 (24),0.81 (29),-1.00 (1),-1.00 (1),-1.00 (3),
371036,Layer,27.05 (21),0.81 (27),-1.00 (1),-1.00 (1),-1.00 (3),
365302,Vamsi,25.36 (57),0.75 (56),-1.00 (1),-1.00 (1),-1.00 (3),
364003,Jayadeep.D,25.08 (59),0.74 (59),-1.00 (1),-1.00 (1),-1.00 (3),
363949,SreeRamaVamsidharS,25.20 (58),0.74 (57),-1.00 (1),-1.00 (1),-1.00 (3),
