submission_pk,User,b'WS-PSNR (dB)',b'WS-SSIM',b'PSNR (dB)',b'SSIM'
373127,Starseeker,28.0668 (12),-1.0000 (1),-1.0000 (1),-1.0000 (1),
372350,KenM,27.9432 (14),-1.0000 (1),-1.0000 (1),-1.0000 (1),
372292,flowers,28.1017 (11),-1.0000 (1),-1.0000 (1),-1.0000 (1),
372218,hasaki,28.6145 (3),-1.0000 (1),-1.0000 (1),-1.0000 (1),
371442,aprBlue,27.9539 (13),-1.0000 (1),-1.0000 (1),-1.0000 (1),
371209,Bob072,28.4887 (6),-1.0000 (1),-1.0000 (1),-1.0000 (1),
370896,ZhanYing,28.6067 (5),-1.0000 (1),-1.0000 (1),-1.0000 (1),
370382,liziwen,27.5298 (16),-1.0000 (1),-1.0000 (1),-1.0000 (1),
370134,Accusefive,28.6399 (1),-1.0000 (1),-1.0000 (1),-1.0000 (1),
367283,bee992,28.1100 (10),-1.0000 (1),-1.0000 (1),-1.0000 (1),
369759,HuaHai,28.6115 (4),-1.0000 (1),-1.0000 (1),-1.0000 (1),
364138,luobingchun,27.6515 (15),-1.0000 (1),-1.0000 (1),-1.0000 (1),
369030,luoyang1999,28.1669 (8),-1.0000 (1),-1.0000 (1),-1.0000 (1),
368897,HaoqiangYang,28.1299 (9),-1.0000 (1),-1.0000 (1),-1.0000 (1),
367650,Trial,26.1527 (19),-1.0000 (1),-1.0000 (1),-1.0000 (1),
367140,eStarPro,28.6161 (2),-1.0000 (1),-1.0000 (1),-1.0000 (1),
366686,ramusz,26.6376 (18),-1.0000 (1),-1.0000 (1),-1.0000 (1),
366624,arui,27.3499 (17),-1.0000 (1),-1.0000 (1),-1.0000 (1),
365534,Spider-Man,28.2789 (7),-1.0000 (1),-1.0000 (1),-1.0000 (1),
363633,mdc,25.7406 (20),-1.0000 (1),-1.0000 (1),-1.0000 (1),
