submission_pk,User,b'AP (total)',b'AR (total)',b'AP (PL)',b'AR (PL)',b'AP (CR)',b'AR (CR)',b'AP (CS)',b'AR (CS)',b'AP (HW)',b'AR (HW)'
33048,yzwang,74.9 (1),79.3 (4),96.3 (2),97.1 (2),73.1 (1),76.0 (2),64.7 (1),71.6 (8),63.8 (8),69.7 (10),
257733,testingrodnet,73.7 (2),80.5 (2),95.5 (7),96.8 (3),70.7 (2),75.5 (3),60.0 (2),74.8 (2),67.8 (4),71.1 (7),
428532,ridwan,72.3 (3),79.9 (3),95.6 (5),96.7 (6),68.8 (4),74.9 (4),54.0 (7),70.6 (10),72.0 (1),74.8 (3),
385732,amrinkareem,71.0 (4),79.3 (5),95.7 (4),96.7 (5),70.1 (3),76.8 (1),56.7 (3),73.1 (3),62.9 (9),67.5 (14),
65446,rchou,70.7 (5),78.8 (7),96.4 (1),97.3 (1),57.4 (10),67.1 (10),55.0 (5),72.7 (4),68.6 (3),71.6 (5),
427365,anikeola,70.1 (6),79.2 (6),95.8 (3),96.7 (7),66.9 (5),72.0 (6),52.2 (10),72.2 (7),67.0 (5),71.5 (6),
98201,sunzhelin,69.4 (7),76.0 (10),94.7 (10),95.7 (10),65.5 (6),69.6 (8),53.6 (8),68.7 (16),60.1 (12),65.7 (15),
284321,light_zwc,68.3 (8),74.4 (13),95.6 (6),96.8 (4),62.7 (8),66.3 (11),55.9 (4),69.3 (14),55.3 (15),59.0 (19),
198382,Yahi,68.1 (9),77.5 (8),95.4 (8),96.7 (8),63.2 (7),69.7 (7),48.5 (17),69.3 (13),64.0 (7),69.8 (9),
416306,hg,67.2 (10),74.9 (11),94.8 (9),95.9 (9),61.7 (9),67.8 (9),52.7 (9),68.6 (17),57.9 (13),61.9 (17),
414569,rpy,67.0 (11),73.7 (16),93.8 (11),94.8 (12),54.3 (11),58.9 (15),52.2 (11),67.6 (18),60.8 (11),65.4 (16),
102507,xiaoxia,65.5 (12),76.3 (9),89.0 (15),91.8 (16),52.5 (12),59.3 (14),54.6 (6),72.6 (6),61.8 (10),73.0 (4),
71589,Eric123456,64.4 (13),74.2 (14),91.4 (14),93.8 (15),45.9 (17),53.8 (17),51.0 (14),69.9 (12),64.2 (6),69.0 (12),
150310,alext92,62.2 (14),73.8 (15),85.7 (17),89.1 (18),52.4 (13),60.9 (13),50.4 (15),69.3 (15),57.2 (14),69.1 (11),
472481,m1105511,61.8 (15),73.5 (17),87.8 (16),90.6 (17),49.4 (16),55.4 (16),51.8 (12),70.7 (9),54.7 (16),67.7 (13),
283677,YQ,60.1 (16),81.6 (1),75.0 (20),95.0 (11),52.2 (14),73.0 (5),51.4 (13),77.2 (1),68.9 (2),76.6 (1),
429754,hgwi,56.3 (17),65.8 (19),81.9 (19),85.6 (20),36.5 (19),40.7 (19),47.9 (18),63.4 (20),52.7 (17),60.8 (18),
73570,LZ2020,55.9 (18),64.1 (20),91.8 (13),94.0 (14),34.3 (20),40.6 (20),48.6 (16),63.9 (19),36.8 (20),42.9 (20),
87872,hrxs1,49.1 (19),63.9 (21),83.6 (18),88.6 (19),39.6 (18),47.4 (18),43.4 (19),70.2 (11),31.2 (21),35.8 (21),
483817,wu1234,47.9 (20),68.5 (18),92.2 (12),94.4 (13),24.1 (21),32.9 (21),26.0 (21),60.4 (21),48.8 (18),69.9 (8),
283547,ww2233,47.1 (21),74.8 (12),67.1 (21),80.4 (21),50.4 (15),66.0 (12),34.5 (20),72.6 (5),43.3 (19),76.5 (2),
385323,fazlicodes,1.1 (22),0.9 (22),0.0 (22),0.0 (22),4.8 (22),6.0 (22),0.0 (22),0.0 (22),0.0 (22),0.0 (22),
324405,riz7,0.0 (23),0.0 (23),0.0 (22),0.0 (22),0.0 (23),0.0 (23),0.0 (22),0.0 (22),0.0 (22),0.0 (22),
277699,wwa123,0.0 (23),0.0 (23),0.0 (22),0.0 (22),0.0 (23),0.0 (23),0.0 (22),0.0 (22),0.0 (22),0.0 (22),
