submission_pk,User,b'ACER',b'APCER',b'BPCER'
344742,O-Sullivan,0.2870 (1),0.2880 (1),0.2870 (1),
356070,ChenYifan,0.3800 (2),0.3830 (3),0.3760 (2),
340145,BokingChen,0.3800 (2),0.3800 (2),0.3800 (3),
335176,SevenTY,0.4290 (3),0.4290 (4),0.4290 (4),
358446,hexianhua,0.4390 (4),0.4380 (5),0.4410 (5),
337429,linghu8812,0.5010 (5),0.5010 (6),0.5010 (6),
350478,zjukongming,0.7810 (6),0.7810 (7),0.7820 (7),
346013,buccellati,0.9590 (7),0.9600 (8),0.9590 (8),
333208,quannxa_ftai,0.9950 (8),0.9950 (9),0.9940 (9),
354628,fruitai,1.1440 (9),1.1450 (10),1.1440 (10),
355966,Disguiser15,1.2060 (10),1.2070 (11),1.2050 (11),
353130,Sicks,1.2370 (11),1.2370 (12),1.2380 (12),
338944,CrayonShinCheng,1.2450 (12),1.2450 (13),1.2460 (13),
352313,Try1Try,1.3630 (13),1.3630 (14),1.3630 (14),
355457,zahar,1.3880 (14),1.3880 (15),1.3880 (15),
357207,mt403,1.7150 (15),1.7140 (16),1.7150 (16),
336857,luoman,1.8220 (16),1.8220 (17),1.8230 (17),
337057,vuvko,2.0200 (17),2.0200 (18),2.0200 (18),
342685,Li_Lai,2.0830 (18),2.0850 (19),2.0800 (19),
350995,dinghx,2.0870 (19),2.0870 (20),2.0880 (20),
355147,Firework,2.1020 (20),2.1020 (21),2.1010 (21),
356354,mouthhan,2.1780 (21),2.1780 (22),2.1770 (22),
332107,LeoDu,2.2670 (22),2.2670 (23),2.2670 (23),
332897,shenxiaohui,2.5270 (23),2.5270 (24),2.5260 (24),
339379,YiHaiyang,2.6420 (24),2.6420 (25),2.6410 (25),
353865,YJ922,2.9080 (25),2.9080 (26),2.9080 (26),
359244,HYL_Dave,2.9200 (26),2.9200 (27),2.9200 (27),
350030,lluevano,3.3310 (27),3.3310 (28),3.3310 (28),
338241,dianxin,3.3720 (28),3.3720 (29),3.3720 (29),
334853,liuchen.lc,3.3970 (29),3.3990 (30),3.3960 (30),
355867,liusong,3.4100 (30),3.4110 (31),3.4090 (31),
359254,gagarinsname,3.5160 (31),3.5150 (32),3.5170 (32),
359205,AleksandrParkin,3.5230 (32),3.5210 (33),3.5240 (33),
344944,dai.cao,3.6640 (33),3.6510 (34),3.6760 (35),
358829,CTEL_AI,3.6730 (34),3.6740 (35),3.6730 (34),
331976,BOE_AIOT_AIBD,4.0820 (35),4.0830 (36),4.0820 (37),
334354,JiaweiChen,4.0990 (36),4.0980 (37),4.0990 (38),
353716,weitutu,4.1030 (37),4.1030 (38),4.1030 (39),
323317,insightface,4.2440 (38),4.2450 (39),4.2440 (40),
358654,hwscut,4.2500 (39),4.2510 (40),4.2500 (41),
356276,cloudwalker,4.2530 (40),4.2530 (41),4.2530 (42),
354350,liubanggui,4.4660 (41),4.4660 (42),4.4660 (43),
333074,shf_deep,4.6320 (42),4.6320 (43),4.6320 (44),
350929,chenyouxin113,4.8130 (43),4.8150 (44),4.8110 (46),
351208,fuhou,5.0760 (44),5.0800 (45),5.0720 (47),
341842,BeaneZ,8.9010 (45),13.1520 (47),4.6490 (45),
355743,Namtp.chocotiamo,10.1010 (46),16.3280 (48),3.8730 (36),
353756,DXAI,10.6530 (47),10.6540 (46),10.6530 (48),
336050,chocotiamo,49.8750 (48),49.8360 (49),49.9130 (49),
