submission_pk,User,b'Accuracy',b'CELoss'
96928,TAL-Ai,91.3310 (1),0.31587 (1),
96927,SakuraD,90.6864 (2),1.77953 (14),
96929,Necca,90.6220 (3),1.69429 (13),
96506,SYSU-FVL-LIGHT,89.5907 (4),0.54490 (4),
96639,dzbd,87.4315 (5),0.41123 (2),
96915,oliverck,85.1112 (6),0.69365 (7),
96881,USTC-IAT-United,84.8856 (7),0.53974 (3),
96907,DthdZK,84.7567 (8),0.57101 (6),
96886,hwz,84.5311 (9),0.56694 (5),
96879,pbdang2000,80.5994 (10),2.52736 (17),
96513,Tutu,79.0848 (11),0.80674 (8),
96901,vivien,76.6677 (12),1.05026 (11),
96518,zhangteng,76.3455 (13),0.82806 (9),
96889,WhiteGive,73.2195 (14),0.98920 (10),
96926,caihuanqia,47.5024 (15),1.47066 (12),
96725,xiaozhua,40.9926 (16),1.86220 (15),
96519,HuizhouChen,40.0258 (17),2.30373 (16),
96688,soony,33.3548 (18),2.73926 (18),
96913,jimmy,17.2414 (19),4.21566 (20),
96869,Millennials,11.8273 (20),3.55641 (19),
