submission_pk,User,b'mean_dice',b'Dice_flat',b'Dice_construction',b'Dice_object',b'Dice_nature',b'Dice_sky',b'Dice_human',b'Dice_vehicle'
409264,dpmeulendijks,0.551 (1),0.87 (16),0.82 (1),0.25 (1),0.85 (1),0.82 (3),0.43 (2),0.77 (1),
406314,Danito,0.544 (2),0.89 (5),0.77 (17),0.21 (6),0.85 (2),0.82 (2),0.43 (1),0.73 (6),
406497,francishung,0.509 (3),0.87 (13),0.80 (5),0.20 (7),0.83 (4),0.81 (5),0.33 (9),0.76 (2),
404539,ninavd1998,0.499 (4),0.87 (14),0.80 (4),0.20 (8),0.84 (3),0.81 (4),0.36 (5),0.74 (3),
408808,y-ga0,0.498 (5),0.90 (2),0.80 (8),0.21 (5),0.83 (5),0.83 (1),0.32 (11),0.65 (18),
407705,swpenninga,0.485 (6),0.88 (10),0.70 (26),0.22 (3),0.81 (13),0.77 (18),0.38 (3),0.64 (19),
408776,dirkcremers,0.483 (7),0.87 (15),0.77 (15),0.22 (4),0.82 (9),0.80 (7),0.37 (4),0.72 (8),
405746,lynchwu,0.481 (8),0.87 (17),0.80 (6),0.17 (11),0.83 (6),0.80 (6),0.32 (10),0.72 (7),
408702,KjeldZ,0.473 (9),0.88 (8),0.68 (28),0.22 (2),0.80 (19),0.75 (21),0.34 (6),0.60 (24),
405707,lmdlmdlmd,0.471 (10),0.87 (18),0.80 (7),0.16 (13),0.82 (8),0.79 (13),0.31 (13),0.73 (5),
366786,laixunqin,0.466 (11),0.87 (20),0.79 (11),0.19 (9),0.82 (10),0.80 (10),0.32 (12),0.70 (12),
408175,scylla,0.462 (12),0.88 (6),0.78 (14),0.17 (12),0.81 (16),0.80 (11),0.33 (8),0.65 (17),
378957,Haiko,0.459 (13),0.83 (29),0.79 (9),0.15 (14),0.81 (15),0.80 (9),0.30 (15),0.70 (11),
386682,Jingyuan_Han,0.454 (14),0.87 (22),0.81 (2),0.12 (23),0.83 (7),0.80 (8),0.29 (17),0.73 (4),
390281,gdcc,0.447 (15),0.87 (23),0.79 (10),0.15 (15),0.81 (14),0.78 (15),0.30 (16),0.69 (13),
409215,snkoenen,0.443 (16),0.87 (19),0.79 (12),0.18 (10),0.81 (12),0.78 (16),0.34 (7),0.61 (23),
398075,Bas,0.438 (17),0.90 (3),0.78 (13),0.14 (17),0.80 (18),0.80 (12),0.31 (14),0.53 (27),
368846,Erastus,0.437 (18),0.87 (12),0.77 (16),0.14 (20),0.81 (17),0.79 (14),0.27 (19),0.66 (16),
407449,semdraaijer,0.429 (19),0.88 (7),0.73 (23),0.15 (16),0.75 (23),0.75 (20),0.21 (25),0.71 (10),
408859,texterkate,0.429 (20),0.86 (25),0.81 (3),0.08 (36),0.82 (11),0.76 (19),0.22 (23),0.71 (9),
373613,rednas_,0.416 (21),0.87 (24),0.74 (19),0.14 (21),0.75 (24),0.77 (17),0.29 (18),0.64 (20),
407876,Yang_Bo,0.408 (22),0.89 (4),0.74 (20),0.14 (18),0.77 (20),0.74 (22),0.21 (26),0.62 (21),
370105,ataMan,0.390 (23),0.87 (21),0.74 (21),0.11 (25),0.75 (22),0.69 (28),0.23 (22),0.59 (26),
407757,jimvermunt,0.387 (24),0.87 (11),0.75 (18),0.05 (47),0.74 (26),0.71 (25),0.16 (28),0.67 (14),
