submission_pk,User,b'EER'
395515,Team_Spirit,21.11 (1),
402861,ikwak2,23.44 (2),
403933,xieyuankun,24.06 (3),
402707,pfalez,25.94 (4),
403541,XuYuxiong,27.81 (5),
438616,XIE,29.03 (6),
462794,ayay,29.68 (7),
402328,yaoxunji,32.37 (8),
402352,Rachel_Wang,32.37 (8),
402771,Jiantao_Zhang,32.80 (9),
402460,ZXM,32.87 (10),
402717,Fanshitong-1,32.90 (11),
402271,Intema,32.91 (12),
402607,Kairo,33.34 (13),
403629,yejiahong,34.77 (14),
402860,tianye,35.09 (15),
403719,wh1111,35.33 (16),
403545,semrb,36.98 (17),
472902,smiip,37.96 (18),
402513,likole,38.06 (19),
403375,BokingChen,38.08 (20),
402572,liutianwen,38.69 (21),
402322,jjaylu,38.75 (22),
402678,lyxx,40.31 (23),
390227,SouvikIITKGP,41.34 (24),
403494,realguard,41.91 (25),
403446,Linshuqing,42.03 (26),
403839,ASP-Ecust,42.38 (27),
402474,add-li,42.73 (28),
403747,Zhang_Jinhua,42.83 (29),
403782,yzhou,43.68 (30),
402477,Kai_Li,44.29 (31),
403107,DLUT_learner,44.50 (32),
403415,WLi,44.61 (33),
402635,Arain,44.93 (34),
402497,faker1996,47.04 (35),
402273,zhiba.su,47.04 (35),
402540,WJ_327,47.40 (36),
403623,aabbcc,49.52 (37),
390265,Yi-MuSAE,53.61 (38),
402567,LiuZefeng,54.71 (39),
389255,XiaohuiLiu,54.77 (40),
403731,HL_HL,54.91 (41),
