submission_pk,User,b'Average Accuracy',b'Accuracy s1',b'Accuracy s2',b'Accuracy s3'
446349,pddbend,0.4477 (1),0.5232 (1),0.4031 (4),0.4167 (2),
447066,linzz,0.4408 (2),0.5088 (2),0.4183 (1),0.3952 (4),
444640,shelley,0.4253 (3),0.4521 (4),0.4180 (2),0.4058 (3),
447042,xduan7,0.4137 (4),0.4499 (5),0.4080 (3),0.3831 (5),
447043,mmasana,0.4052 (5),0.4247 (7),0.3429 (5),0.4481 (1),
446862,zys_tjut,0.3435 (6),0.4534 (3),0.3043 (7),0.2728 (11),
446873,Vanixxz,0.3172 (7),0.3333 (10),0.3001 (8),0.3183 (6),
447035,M1andy,0.3101 (8),0.3332 (11),0.2897 (9),0.3074 (7),
446048,rainstar,0.3088 (9),0.3601 (8),0.2777 (10),0.2887 (9),
446713,flyfishzzz,0.2997 (10),0.3131 (13),0.3131 (6),0.2728 (11),
447461,ECNU_ZZ,0.2926 (11),0.3190 (12),0.2689 (11),0.2900 (8),
426810,shiwuxuan,0.2695 (12),0.2625 (17),0.2587 (12),0.2873 (10),
447086,haha_,0.2653 (13),0.3498 (9),0.1888 (16),0.2572 (12),
441993,zugexiaodui,0.2298 (14),0.2497 (18),0.2018 (14),0.2378 (14),
439023,rainbow_sea,0.2283 (15),0.2775 (14),0.1657 (21),0.2418 (13),
445594,dongwoolee,0.2195 (16),0.2365 (23),0.1927 (15),0.2294 (17),
447059,cip1,0.2158 (17),0.2365 (23),0.1745 (19),0.2365 (15),
437410,Nozomi,0.2131 (18),0.2131 (26),0.2131 (13),0.2131 (20),
447312,isCDX,0.2123 (19),0.2648 (16),0.1414 (24),0.2307 (16),
445206,kimj3624,0.2016 (20),0.2046 (27),0.1862 (17),0.2141 (19),
436256,congwei,0.1944 (21),0.2471 (19),0.1350 (26),0.2011 (23),
444562,sunshroom,0.1942 (22),0.2453 (20),0.1269 (30),0.2103 (22),
447177,Haoyu,0.1935 (23),0.2266 (24),0.1319 (27),0.2219 (18),
436268,siazy,0.1922 (24),0.2406 (21),0.1350 (26),0.2011 (23),
420559,yzhong,0.1782 (25),0.2760 (15),0.0930 (33),0.1656 (24),
435824,yjgao,0.1747 (26),0.2471 (19),0.0760 (41),0.2011 (23),
437587,yyliu,0.1725 (27),0.2237 (25),0.0818 (40),0.2120 (21),
446973,fantasea,0.1653 (28),0.1703 (30),0.1811 (18),0.1446 (25),
397781,jodelet,0.1615 (29),0.2403 (22),0.1399 (25),0.1043 (26),
446867,Hl,0.1574 (30),0.4534 (3),0.0094 (47),0.0094 (43),
446185,sxp,0.1562 (31),0.4498 (6),0.0094 (47),0.0094 (43),
386485,dylin,0.1465 (32),0.1852 (28),0.1662 (20),0.0880 (28),
395719,alenic,0.1404 (33),0.1723 (29),0.1596 (22),0.0893 (27),
423963,JT_LS_SB,0.1352 (34),0.1666 (31),0.1588 (23),0.0801 (30),
446308,jkozal,0.1060 (35),0.1351 (33),0.1059 (31),0.0770 (31),
422400,champaca,0.1029 (36),0.1136 (35),0.1305 (28),0.0647 (35),
413961,JLN,0.0961 (37),0.0925 (39),0.1278 (29),0.0680 (32),
440561,Ziyi_Zhang,0.0892 (38),0.1083 (36),0.1013 (32),0.0581 (37),
399150,ytheblade,0.0881 (39),0.1425 (32),0.0662 (43),0.0555 (38),
392038,HuitongChen,0.0852 (40),0.1062 (37),0.0866 (37),0.0628 (36),
383582,vthuynh,0.0849 (41),0.1253 (34),0.0618 (45),0.0676 (33),
410804,Maggie2022,0.0847 (42),0.0847 (40),0.0847 (39),0.0847 (29),
387395,lakj,0.0840 (43),0.1000 (38),0.0862 (38),0.0657 (34),
381776,fenght,0.0756 (44),0.0772 (43),0.0915 (34),0.0581 (37),
387076,zhanshi,0.0697 (45),0.0651 (44),0.0891 (35),0.0550 (39),
382541,ydhu,0.0676 (46),0.0775 (42),0.0707 (42),0.0546 (40),
441978,yann-zhg,0.0665 (47),0.0816 (41),0.0629 (44),0.0550 (39),
439442,Pina,0.0624 (48),0.0537 (46),0.0888 (36),0.0448 (41),
405551,EnglishDALISHI,0.0277 (49),0.0631 (45),0.0100 (46),0.0100 (42),
443199,pakapro,0.0103 (50),0.0123 (47),0.0094 (47),0.0091 (44),
