submission_pk,User,b'Prediction score',b'Duration'
443943,gkdx2,0.6412 (1),- (-),
442200,HHuang,0.6302 (2),- (-),
441134,ChenxiCui,0.6263 (3),- (-),
442639,ymzhang,0.6208 (4),- (-),
442638,USTC-CILAB703,0.6186 (5),- (-),
442640,Liusf,0.5969 (6),- (-),
442622,Lab703,0.5824 (7),- (-),
442527,ouninnyuki,0.5511 (8),- (-),
442458,Xinglong_Mao,0.5182 (9),- (-),
432330,XiaolinXu,0.5020 (10),- (-),
442195,GPtau,0.4641 (11),- (-),
442289,wyww,0.4588 (12),- (-),
435025,USTC-AC,0.3553 (13),- (-),
427231,YiqingHuang,0.3481 (14),- (-),
427242,hants,0.3481 (14),- (-),
422916,WenX-Yuan,0.2670 (15),- (-),
422674,mikecheninoulu,0.2558 (16),- (-),
423252,pakapro,0.0000 (17),- (-),
