submission_pk,User,b'Score'
406783,JaehyukJang,1.000000 (1),
405669,ngochdm,1.000000 (1),
401229,tdc2000,1.000000 (1),
411849,JuannKim,0.997506 (2),
411800,Moon_Jaewan,0.997506 (2),
409095,ByeonghyeonLee,0.997506 (2),
408712,HwangSungJoon,0.997506 (2),
407531,hpnquoc,0.997506 (2),
404612,minkyulee,0.997506 (2),
400655,WonJunMoon,0.997506 (2),
398374,gilhanpark,0.997506 (2),
410038,briankim,0.997494 (3),
411785,lsk,0.995025 (4),
411069,HowoongLee,0.995025 (4),
410447,GeunminHwang,0.995025 (4),
410228,changmoku1,0.995025 (4),
410045,jjw2564,0.995025 (4),
406998,gyeong_ryeol_song,0.995025 (4),
406903,SeungwooJang,0.995025 (4),
406208,SnagHoLee,0.995025 (4),
404457,hsi1032,0.995025 (4),
400836,SuBeenLee,0.995025 (4),
396187,JonghunKim_,0.995025 (4),
411877,Jungahn,0.992556 (5),
401416,sminyu,0.990099 (6),
398362,leemiso,0.990099 (6),
411093,HyunmoYang,0.990050 (7),
407169,DongchanSeo,0.989950 (8),
410439,junyujae,0.987593 (9),
398102,longpham3105,0.987593 (9),
401303,hanbyullee,0.987531 (10),
411851,HyunJinKim,0.985149 (11),
411343,SunghunKim,0.984925 (12),
407581,jiminAn,0.980000 (13),
410020,WoojinJeong,0.977556 (14),
411874,JaeJoon-Lee,0.977330 (15),
405355,jinsuby,0.968059 (16),
401466,oooi,0.964286 (17),
406652,JinsunLee,0.959391 (18),
404369,Sejeong.Lim,0.958974 (19),
404858,Ohsungbhin,0.956962 (20),
406833,HyeongkiAhn,0.956298 (21),
409822,siwoolee,0.954315 (22),
409741,LeeJungJu,0.953608 (23),
409498,heatherhong,0.944578 (24),
411314,CHENMEICEN,0.941176 (25),
411398,SuhyoungHa,0.937028 (26),
407086,JieunKim,0.911839 (27),
411592,RagnarNW,0.821346 (28),
411132,inescfpinto,0.818605 (29),
411131,deny,0.800000 (30),
411623,haps,0.796781 (31),
410514,OhseungKWON,0.767635 (32),
