submission_pk,User,b'Balanced accuracy'
407268,GloireLINVANI,0.76 (1),
413786,erwan.lemattre,0.76 (2),
413739,Bluefir,0.76 (3),
412149,lala.mammadova,0.76 (3),
413789,shatem,0.75 (4),
413669,asmaaaa,0.74 (5),
413081,napnapbunsnap,0.72 (6),
413782,goui,0.71 (7),
413737,nathan.goldnadel,0.70 (8),
413644,alix.mougel,0.54 (9),
413613,inesduflos,0.52 (10),
414827,BENAMROUCHE,0.52 (11),
413817,karim,0.50 (12),
413779,Aniach,0.50 (13),
413689,paul.oriat,0.50 (14),
413505,Jeremyw,0.50 (14),
406917,pakapro,0.50 (15),
415904,erkhem,0.50 (16),
413431,lucas.vvg,0.50 (16),
386889,marcevrard,0.50 (17),
413802,SushiAtomique,-1.00 (18),
413658,mohamadmrad,-1.00 (18),
