submission_pk,User,b'Accuracy@1'
395351,toxicmopsic,67.10 (1),
395735,AlexeyKotcov,67.00 (2),
395711,bogchamp,67.00 (2),
395122,niksukhorukov,66.95 (3),
395919,notawhale,66.90 (4),
395727,nmorozov22,66.90 (4),
396044,_twinkle_,66.85 (5),
390382,TOOFACK,66.85 (5),
394087,Mekan,66.80 (6),
395445,makovka,66.75 (7),
394493,mr6one,66.70 (8),
395976,Mat_Skr,66.60 (9),
395632,vlasovroman,66.60 (9),
395958,LA,66.55 (10),
395819,Vir_Ven,66.55 (10),
395137,MatyushinaZ,66.55 (10),
394366,BGDNick,66.55 (10),
395937,sudarut,66.50 (11),
395439,lkuz_mik,66.50 (11),
392852,wkpn,66.50 (11),
395936,isaf27,66.45 (12),
395903,aayugay99,66.40 (13),
395811,SereginMihail,66.40 (13),
394191,azelentsov,66.35 (14),
395837,art-bash,66.25 (15),
396676,Nuzhnov_Mark,66.20 (16),
395612,a.makhin,66.20 (16),
395953,nlp_user,66.15 (17),
404749,alexander_stepikin,66.10 (18),
392833,saraevn,66.10 (18),
395754,zaaabik,66.00 (19),
393990,katyanaveka,66.00 (19),
395751,exxxplainer,65.95 (20),
394564,IvanGurev,65.95 (20),
391582,rediska,65.95 (20),
391311,JuliaKudryavtseva,65.85 (21),
398341,Nick,65.80 (22),
395961,MarcoOffidani,65.80 (22),
394160,chomsky,65.80 (22),
391273,zhilnikova,65.80 (22),
394321,lilnyan,65.75 (23),
394466,UyenVo,65.60 (24),
393259,erdzhemadinov,65.20 (25),
394376,kisialiou,65.15 (26),
395918,ziongo,62.75 (27),
395796,GlebMazanov,61.70 (28),
395761,libraa,60.55 (29),
395658,n9,32.40 (30),
389817,lilaspourpre,15.45 (31),
