submission_pk,User,b'Quadratic Weighted Kappa',b'Macro F1',b'Macro Specificity',b'Average',b'CPU Time'
490371,hyeonminkim0625,0.9148 (1),0.8394 (1),0.9490 (1),0.9011 (1),1.3771 (36),
489266,fyii200,0.9105 (2),0.8392 (2),0.9427 (3),0.8974 (2),0.0692 (3),
489558,Muchty13,0.9067 (3),0.8176 (3),0.9400 (4),0.8881 (3),0.5433 (31),
491838,houjunlin,0.9029 (5),0.7965 (5),0.9393 (6),0.8796 (4),0.1059 (7),
488404,ff741333,0.9056 (4),0.7799 (7),0.9394 (5),0.8750 (5),0.0874 (5),
466049,wenhuizhu,0.8676 (18),0.8092 (4),0.9354 (11),0.8707 (6),0.3085 (22),
493438,jusiro,0.8831 (10),0.7801 (6),0.9339 (14),0.8657 (7),3.0924 (38),
469923,Saturn,0.8941 (6),0.7483 (11),0.9433 (2),0.8619 (8),0.0650 (2),
489603,jengelmann,0.8779 (13),0.7688 (8),0.9277 (22),0.8581 (9),0.0510 (1),
490775,chenjunzhi,0.8901 (7),0.7343 (13),0.9371 (7),0.8538 (10),0.3180 (23),
489882,hao9,0.8840 (9),0.7333 (14),0.9356 (10),0.8510 (11),0.3461 (26),
492543,HuangYating,0.8533 (20),0.7562 (9),0.9352 (12),0.8482 (12),0.1248 (13),
487174,liyihao76,0.8761 (14),0.7328 (15),0.9349 (13),0.8479 (13),1.4318 (37),
485143,Chester,0.8862 (8),0.7182 (21),0.9362 (8),0.8468 (14),0.3618 (27),
493064,xiangjunhong,0.8781 (12),0.7270 (17),0.9307 (18),0.8453 (15),0.2874 (21),
490579,Linvil,0.8817 (11),0.7273 (16),0.9263 (24),0.8451 (16),0.4997 (30),
470329,pzhang_latim,0.8712 (15),0.7259 (18),0.9338 (15),0.8436 (17),1.2560 (34),
493224,zirongliu,0.8708 (16),0.7214 (19),0.9309 (17),0.8410 (18),0.3702 (28),
492945,lxb,0.8351 (21),0.7484 (10),0.9360 (9),0.8398 (19),0.4058 (29),
493919,Jiawen_Li,0.8637 (19),0.7185 (20),0.9334 (16),0.8385 (20),1.1602 (33),
491282,dj28,0.8158 (23),0.7443 (12),0.9302 (19),0.8301 (21),1.2716 (35),
487737,Jazzcharles,0.8158 (24),0.7026 (22),0.9251 (25),0.8145 (22),0.1685 (17),
464431,YuboTan,0.8682 (17),0.6534 (26),0.9201 (26),0.8139 (23),0.2052 (18),
483305,joheras,0.8152 (25),0.6942 (23),0.9271 (23),0.8122 (24),0.3246 (24),
492106,CaiJS,0.8326 (22),0.6535 (25),0.9281 (21),0.8047 (25),1.0723 (32),
491804,mustangs007,0.8114 (27),0.6728 (24),0.9285 (20),0.8042 (26),0.2263 (20),
489809,yuns,0.8114 (26),0.5683 (29),0.9094 (29),0.7631 (27),0.2210 (19),
484642,zlx,0.7749 (29),0.5901 (27),0.9145 (27),0.7599 (28),0.3297 (25),
492973,aifuture,0.7875 (28),0.5771 (28),0.9115 (28),0.7587 (29),0.1158 (10),
481326,EthanChan,0.7875 (28),0.5771 (28),0.9115 (28),0.7587 (29),0.1473 (15),
480552,CJX,0.7875 (28),0.5771 (28),0.9115 (28),0.7587 (29),0.1243 (12),
477249,SachinSaiReddy,0.7875 (28),0.5771 (28),0.9115 (28),0.7587 (29),0.1148 (9),
475378,ZhuXiaoLong,0.7875 (28),0.5771 (28),0.9115 (28),0.7587 (29),0.1624 (16),
472078,JinYong,0.7875 (28),0.5771 (28),0.9115 (28),0.7587 (29),0.0872 (4),
469228,didier-x,0.7875 (28),0.5771 (28),0.9115 (28),0.7587 (29),0.1262 (14),
468674,xixianglin0,0.7875 (28),0.5771 (28),0.9115 (28),0.7587 (29),0.0922 (6),
467940,Youven,0.7875 (28),0.5771 (28),0.9115 (28),0.7587 (29),0.1133 (8),
487157,LiJiaWei,0.0000 (30),0.0957 (30),0.8000 (30),0.2986 (30),0.1160 (11),
