submission_pk,User,b'LC DSC',b'CNV DSC',b'FS DSC',b'Avg DSC',b'Avg Recall',b'Avg Precision',b'CPU Time'
476793,liyihao76,0.7573 (1),0.6885 (1),0.8498 (1),0.7652 (1),0.7745 (2),0.8036 (1),0.4928 (6),
489458,Muchty13,0.7374 (2),0.6010 (5),0.8418 (2),0.7267 (2),0.7477 (4),0.7467 (5),0.4724 (5),
486480,ff741333,0.6828 (5),0.6404 (2),0.7835 (6),0.7022 (3),0.7149 (5),0.7629 (4),1.3557 (8),
493215,joheras,0.6897 (4),0.6048 (4),0.7869 (4),0.6938 (4),0.7582 (3),0.6903 (6),4.0876 (12),
483040,xiangjunhong,0.6945 (3),0.5993 (6),0.7856 (5),0.6932 (5),0.7000 (6),0.7815 (2),4.3273 (13),
485588,dj28,0.6687 (6),0.5805 (7),0.7989 (3),0.6827 (6),0.6964 (7),0.7701 (3),8.8033 (14),
478747,hyeonminkim0625,0.4824 (12),0.6112 (3),0.6979 (9),0.5972 (7),0.7991 (1),0.5602 (9),1.5427 (10),
494209,Horan,0.6598 (7),0.3816 (9),0.7264 (7),0.5893 (8),0.5964 (10),0.6826 (7),1.4984 (9),
486477,nguyenpbui,0.5955 (10),0.4630 (8),0.7033 (8),0.5873 (9),0.6751 (8),0.5868 (8),2.5402 (11),
478731,XiwenChen_Clemson,0.6248 (9),0.3760 (10),0.6745 (11),0.5584 (10),0.6707 (9),0.5341 (10),0.1123 (2),
473940,YuboTan,0.5823 (11),0.2308 (11),0.6850 (10),0.4993 (11),0.5510 (11),0.5116 (11),0.2279 (3),
487907,wangluping2023,0.4443 (13),0.0000 (14),0.5067 (12),0.3170 (12),0.3838 (13),0.3682 (12),16.6418 (15),
480498,peijie,0.6286 (8),0.0813 (13),0.0091 (14),0.2397 (13),0.2994 (14),0.2336 (13),0.3052 (4),
483871,EthanChan,0.1148 (14),0.1351 (12),0.0871 (13),0.1123 (14),0.4180 (12),0.0775 (14),0.8515 (7),
492435,chenjunzhi,0.0000 (15),0.0000 (14),0.0000 (15),0.0000 (15),0.0000 (15),0.0000 (15),0.0008 (1),
