submission_pk,User,b'mAP',b'mAP_S',b'AP50_S',b'AP75_S',b'AR1_S',b'AR10_S',b'mAP_L',b'AP50_L',b'AP75_L',b'AR1_L',b'AR10_L'
492593,zhangtao-whu,0.539 (1),0.626 (1),0.831 (3),0.711 (1),0.489 (2),0.671 (1),0.453 (4),0.640 (6),0.495 (1),0.386 (4),0.492 (6),
474315,KainingYing,0.538 (2),0.612 (2),0.835 (2),0.688 (2),0.480 (4),0.657 (2),0.464 (3),0.742 (1),0.415 (7),0.394 (2),0.558 (1),
462867,DeshuiMiao,0.530 (3),0.591 (6),0.805 (5),0.652 (7),0.485 (3),0.638 (6),0.469 (2),0.712 (3),0.493 (2),0.415 (1),0.494 (4),
471350,csj,0.522 (4),0.565 (8),0.797 (7),0.628 (8),0.462 (7),0.637 (7),0.480 (1),0.737 (2),0.492 (3),0.379 (5),0.529 (2),
493275,SamsungMSL,0.521 (5),0.595 (5),0.828 (4),0.652 (6),0.473 (6),0.640 (5),0.446 (5),0.683 (4),0.482 (4),0.371 (6),0.517 (3),
458777,adamqian,0.520 (6),0.608 (3),0.849 (1),0.671 (3),0.475 (5),0.653 (3),0.432 (7),0.639 (7),0.451 (6),0.350 (7),0.493 (5),
456982,Tanveer81,0.517 (7),0.600 (4),0.800 (6),0.666 (4),0.491 (1),0.644 (4),0.435 (6),0.628 (8),0.473 (5),0.393 (3),0.472 (7),
456208,MahouShoujo,0.497 (8),0.585 (7),0.791 (8),0.662 (5),0.460 (8),0.636 (8),0.409 (8),0.643 (5),0.402 (8),0.310 (8),0.461 (8),
493478,zuoyi,0.375 (9),0.417 (9),0.660 (9),0.446 (9),0.386 (9),0.516 (9),0.332 (9),0.572 (9),0.388 (9),0.298 (9),0.385 (9),
479829,audi666,0.238 (10),0.297 (10),0.497 (10),0.323 (10),0.290 (10),0.369 (10),0.179 (10),0.377 (10),0.091 (11),0.188 (10),0.242 (10),
453726,LinjieY,0.238 (10),0.297 (10),0.497 (10),0.323 (10),0.290 (10),0.369 (10),0.179 (10),0.377 (10),0.091 (11),0.188 (10),0.242 (10),
491511,arui,0.176 (11),0.238 (11),0.420 (11),0.254 (11),0.246 (11),0.308 (11),0.114 (11),0.268 (11),0.098 (10),0.112 (11),0.140 (11),
456035,pakapro,0.000 (12),0.000 (12),0.000 (12),0.000 (12),0.000 (12),0.000 (12),0.000 (12),0.000 (12),0.000 (12),0.000 (12),0.000 (12),
