submission_pk,User,b'mean accuracy',b'accuracy (WW2020)',b'accuracy (WR2021)'
492380,gowthaminti,84.4 (1),84.2 (1),84.6 (2),
488189,vijaysamula,82.7 (2),80.6 (3),84.8 (1),
493868,lars.nieradzik,82.3 (3),80.1 (4),84.4 (3),
470436,jyii,81.7 (4),79.5 (5),84.0 (4),
493910,di_nguyen,80.3 (5),76.1 (6),84.6 (2),
484310,AksanDotDev,77.5 (6),71.8 (8),83.1 (5),
493826,ice-cream,76.1 (7),72.4 (7),79.7 (8),
493893,andrew.heschl,75.6 (8),70.7 (9),80.6 (7),
485954,vamshi.k,73.9 (9),66.0 (12),81.8 (6),
493496,joheras,73.8 (10),68.8 (11),78.8 (9),
493782,yxguo,68.3 (11),64.1 (13),72.4 (11),
492078,Tianrui_Feng,67.6 (12),69.9 (10),65.4 (13),
493197,AdeebHossain,66.7 (13),59.6 (16),73.7 (10),
478692,huangqy.ynu,66.3 (14),61.8 (14),70.9 (12),
492877,hhc,61.1 (15),61.1 (15),61.1 (14),
481767,hwq,51.3 (16),82.7 (2),19.9 (15),
