submission_pk,User,b'Accuracy (top-1)[%]',b'Score2',b'Score3',b'Runtime per image [s]',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
50449,Tassel_tzw,22.08 (1),22.08 (1),22.08 (1),-1.00 (1),-1.00 (3),-1.00 (3),
61239,linpeng,21.56 (2),21.56 (2),21.56 (2),-1.00 (1),-1.00 (3),-1.00 (3),
61254,MEYE,20.91 (3),20.91 (3),20.91 (3),-1.00 (1),-1.00 (3),-1.00 (3),
60168,ltliu,20.13 (4),20.13 (4),20.13 (4),0.00 (3),0.00 (2),0.00 (2),
61881,jsyoon,18.83 (5),18.83 (5),18.83 (5),0.03 (7),0.00 (2),0.00 (2),
59422,sumanth_udupa,18.70 (6),18.70 (6),18.70 (6),-1.00 (1),-1.00 (3),-1.00 (3),
60536,PiKaChu_wcg,18.05 (7),18.05 (7),18.05 (7),10.43 (13),1.00 (1),1.00 (1),
60353,kancharlavamshi,18.05 (7),18.05 (7),18.05 (7),-1.00 (1),-1.00 (3),-1.00 (3),
60576,sjy,17.92 (8),17.92 (8),17.92 (8),-1.00 (1),0.00 (2),0.00 (2),
61223,avinash_nesac,17.40 (9),17.40 (9),17.40 (9),-1.00 (1),-1.00 (3),-1.00 (3),
55443,priyakansal,17.40 (9),17.40 (9),17.40 (9),0.05 (8),0.00 (2),0.00 (2),
48291,Fatliuyun,17.01 (10),17.01 (10),17.01 (10),0.02 (5),0.00 (2),0.00 (2),
61472,Zhou_ZM,16.62 (11),16.62 (11),16.62 (11),-1.00 (1),0.00 (2),0.00 (2),
56467,bmyan,16.23 (12),16.23 (12),16.23 (12),0.10 (10),0.00 (2),0.00 (2),
60183,leinao123,15.97 (13),15.97 (13),15.97 (13),1.00 (12),1.00 (1),1.00 (1),
58673,try_first_try,15.58 (14),15.58 (14),15.58 (14),0.00 (4),0.00 (2),0.00 (2),
61861,areyesan,14.55 (15),14.55 (15),14.55 (15),0.31 (11),0.00 (2),0.00 (2),
61185,NYCX,13.51 (16),13.51 (16),13.51 (16),0.02 (6),0.00 (2),0.00 (2),
59976,Sandhi,13.51 (16),13.51 (16),13.51 (16),0.00 (2),0.00 (2),0.00 (2),
50323,mark,13.07 (17),13.07 (17),13.07 (17),-1.00 (1),-1.00 (3),-1.00 (3),
58278,neptune,12.99 (18),12.99 (18),12.99 (18),10.43 (13),0.00 (2),0.00 (2),
61064,SabariNathan,12.60 (19),12.60 (19),12.60 (19),10.43 (13),1.00 (1),1.00 (1),
57800,MoonJian,12.60 (19),12.60 (19),12.60 (19),-1.00 (1),-1.00 (3),-1.00 (3),
44373,slow126,12.45 (20),12.45 (20),12.45 (20),10.43 (13),1.00 (1),1.00 (1),
61342,adityakane,9.61 (21),9.61 (21),9.61 (21),0.09 (9),1.00 (1),0.00 (2),
61886,dushens,0.39 (22),0.39 (22),0.39 (22),0.00 (3),0.00 (2),0.00 (2),
61746,Levin,0.39 (22),0.39 (22),0.39 (22),0.00 (3),0.00 (2),0.00 (2),
61770,king,0.26 (23),0.26 (23),0.26 (23),0.00 (3),0.00 (2),0.00 (2),
61758,Howie,0.26 (23),0.26 (23),0.26 (23),0.00 (3),0.00 (2),0.00 (2),
61731,hsansui,0.13 (24),0.13 (24),0.13 (24),0.00 (3),0.00 (2),0.00 (2),
61666,wujiekd,0.13 (24),0.13 (24),0.13 (24),0.00 (3),0.00 (2),0.00 (2),
61652,Marry,0.13 (24),0.13 (24),0.13 (24),0.00 (3),0.00 (2),0.00 (2),
