submission_pk,User,b'MainScore',b'Pearson',b'Spearman',b'FR [1] / NR [0]',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
380455,liaojq,0.81 (68),0.43 (68),0.39 (68),1.00 (3),1.00 (1),1.00 (1),
356069,lx,1.37 (57),0.69 (57),0.67 (59),1.00 (3),1.00 (1),1.00 (1),
89056,nanashi,1.58 (37),0.80 (36),0.78 (38),1.00 (3),0.00 (2),1.00 (1),
72395,burchim,1.59 (35),0.80 (35),0.79 (36),1.00 (3),0.00 (2),1.00 (1),
66422,FLT,1.41 (53),0.72 (53),0.69 (54),1.00 (3),0.00 (2),1.00 (1),
64886,MarcoBuzzelli,1.31 (61),0.67 (62),0.65 (61),1.00 (3),1.00 (1),1.00 (1),
63688,Head_of_SCUT_Web_Security,1.15 (66),0.57 (66),0.57 (66),1.00 (3),1.00 (1),1.00 (1),
63377,team310,1.22 (63),0.61 (64),0.61 (63),1.00 (3),1.00 (1),1.00 (1),
62662,wth1919,1.64 (21),0.82 (25),0.81 (20),1.00 (3),0.00 (2),1.00 (1),
60218,hitvpc_huawei,1.67 (11),0.84 (11),0.83 (11),1.00 (3),1.00 (1),1.00 (1),
60211,cscaoyue,1.67 (8),0.85 (8),0.83 (8),1.00 (3),1.00 (1),1.00 (1),
55983,ms_ipcv,0.23 (71),0.11 (71),0.11 (71),1.00 (3),1.00 (1),1.00 (1),
53192,yahaha,1.37 (58),0.69 (58),0.68 (58),1.00 (3),0.00 (2),1.00 (1),
321692,ysy0129,1.66 (17),0.84 (15),0.82 (17),1.00 (3),1.00 (1),0.00 (2),
311627,ysy1208,0.32 (70),0.19 (70),0.13 (70),1.00 (3),1.00 (1),0.00 (2),
261486,ysy1111,1.66 (14),0.84 (14),0.82 (16),1.00 (3),1.00 (1),0.00 (2),
236822,ysy1022,1.65 (19),0.83 (21),0.82 (19),1.00 (3),1.00 (1),0.00 (2),
209440,ysy0930,1.61 (30),0.81 (32),0.80 (29),1.00 (3),1.00 (1),0.00 (2),
192059,lxl,1.62 (28),0.82 (28),0.80 (27),1.00 (3),1.00 (1),0.00 (2),
178228,shanggong,1.66 (16),0.84 (17),0.82 (14),1.00 (3),1.00 (1),0.00 (2),
164088,test001,1.70 (1),0.86 (1),0.84 (2),0.00 (2),1.00 (1),0.00 (2),
129792,rtc,0.99 (67),0.49 (67),0.50 (67),1.00 (3),0.00 (2),0.00 (2),
127109,ysy,1.63 (26),0.83 (22),0.80 (28),1.00 (3),1.00 (1),0.00 (2),
