submission_pk,User,b'F1',b'Precision',b'Recall'
134087,bychen,0.883934 (1),0.893480 (2),0.891612 (2),
134085,songxinran,0.873166 (2),0.913978 (1),0.858044 (4),
134082,lvan_AI,0.858592 (3),0.833830 (3),0.899345 (1),
134056,midnight,0.854121 (4),0.831971 (4),0.886465 (3),
126931,ycybiubiu,0.588135 (5),0.737395 (5),0.540843 (6),
120552,yushijie1,0.469946 (6),0.529177 (8),0.551634 (5),
122813,chonglou,0.467112 (7),0.659026 (6),0.403175 (14),
97584,tiny-rec,0.466671 (8),0.554372 (7),0.473657 (8),
132000,jzsherlock,0.457693 (9),0.477062 (11),0.507418 (7),
108866,AlexDametto97,0.422466 (10),0.426208 (13),0.456667 (9),
133875,owais,0.411974 (11),0.485609 (10),0.391536 (15),
107000,whyang78,0.405698 (12),0.447566 (12),0.416681 (13),
124327,cal,0.403008 (13),0.417867 (14),0.456266 (10),
123839,earnest,0.380786 (14),0.507971 (9),0.331482 (23),
93365,yangmeng,0.371933 (15),0.416209 (15),0.366486 (18),
89813,lengyu.yb,0.357089 (16),0.400232 (16),0.355642 (21),
55807,kemangjaka,0.356396 (17),0.329271 (22),0.430738 (12),
72442,highwy,0.348434 (18),0.355718 (20),0.387511 (16),
105119,zhuchangjie,0.347970 (19),0.386529 (17),0.363762 (19),
118544,danebou,0.340594 (20),0.314582 (23),0.430798 (11),
103534,lovelyczli,0.338315 (21),0.367895 (18),0.362873 (20),
43578,r2plus1d_ucf_baseline,0.323723 (22),0.343382 (21),0.374036 (17),
43579,ucf_i3d_baseline,0.314677 (23),0.366962 (19),0.325583 (24),
43577,wideresnet_ucf_baseline,0.293589 (24),0.291613 (24),0.334455 (22),
94335,yazdanimehdi,0.142311 (25),0.129253 (26),0.221196 (25),
91340,Programmer96,0.089358 (26),0.082352 (27),0.123414 (26),
43279,vyzuer,0.054223 (27),0.181495 (25),0.053573 (27),
134026,yang888,0.027972 (28),0.024725 (28),0.032200 (28),
132561,better-one,0.001012 (29),0.000527 (29),0.012821 (29),
