submission_pk,User,b'AP',b'AP(50)',b'AP(75)',b'AP(small)',b'AP(medium)',b'AP(large)',b'AR(1)',b'AR(10)',b'AR(100)',b'AR(small)',b'AR(medium)',b'AR(large)'
263539,liyinze1,0.484 (1),0.860 (4),0.467 (1),0.446 (1),0.508 (1),0.770 (4),0.211 (1),0.615 (1),0.672 (1),0.648 (1),0.686 (1),0.825 (4),
237958,xichen,0.478 (2),0.876 (1),0.446 (2),0.431 (2),0.507 (2),0.779 (2),0.207 (2),0.582 (2),0.629 (2),0.586 (2),0.657 (2),0.847 (1),
199162,Leondre,0.467 (3),0.861 (3),0.431 (3),0.418 (3),0.491 (3),0.774 (3),0.206 (4),0.568 (3),0.596 (3),0.556 (3),0.620 (3),0.837 (2),
148234,yangtze,0.459 (4),0.863 (2),0.412 (4),0.398 (5),0.486 (4),0.789 (1),0.206 (3),0.548 (5),0.558 (5),0.520 (5),0.577 (5),0.825 (3),
130525,FlorisChen,0.451 (5),0.852 (6),0.405 (5),0.400 (4),0.476 (5),0.759 (5),0.203 (5),0.552 (4),0.565 (4),0.527 (4),0.584 (4),0.821 (5),
169787,gao20175428018,0.434 (6),0.853 (5),0.371 (6),0.382 (6),0.458 (6),0.739 (6),0.197 (6),0.536 (6),0.550 (7),0.515 (7),0.567 (7),0.788 (6),
73246,yyc,0.429 (7),0.839 (7),0.368 (7),0.374 (7),0.454 (7),0.698 (7),0.195 (7),0.536 (7),0.555 (6),0.520 (6),0.575 (6),0.764 (7),
168379,Pmrsly,0.356 (8),0.705 (8),0.305 (8),0.281 (8),0.407 (8),0.563 (9),0.185 (8),0.478 (8),0.483 (8),0.436 (8),0.519 (8),0.642 (9),
186946,weh012,0.320 (9),0.632 (9),0.272 (9),0.266 (9),0.360 (9),0.592 (8),0.174 (9),0.419 (9),0.422 (9),0.370 (9),0.459 (9),0.647 (8),
84835,XDD,0.209 (10),0.474 (10),0.156 (10),0.131 (10),0.256 (10),0.536 (10),0.140 (10),0.280 (10),0.280 (10),0.190 (10),0.349 (10),0.590 (10),
