submission_pk,User,b'F1',b'P',b'R'
153404,veysel_jsl,- (-),,,
153266,laleye,- (-),,,
152335,gokceuludogan,- (-),,,
151686,StuZh,- (-),,,
151370,AKA,- (-),,,
submission_pk,User,b'F1',b'P',b'R'
151686,StuZh,0.89 (1),0.9740 (1),0.8220 (1),
151370,AKA,0.68 (2),0.8330 (2),0.5750 (3),
152335,gokceuludogan,0.67 (3),0.7650 (4),0.5980 (2),
153266,laleye,0.59 (4),0.7880 (3),0.4710 (4),
153404,veysel_jsl,0.32 (5),0.5940 (5),0.2180 (5),
submission_pk,User,b'F1',b'P',b'R'
153404,veysel_jsl,- (-),,,
153266,laleye,- (-),,,
152335,gokceuludogan,- (-),,,
151686,StuZh,- (-),,,
151370,AKA,- (-),,,
