submission_pk,User,b'skill'
14118,flziel,0.426 (1),
14229,jw99,0.436 (2),
11466,satrughna,0.437 (3),
14275,AyrtonB,0.443 (4),
14297,burrowsej,0.459 (5),
13369,malcolm,0.460 (6),
12990,arvinlim,0.466 (7),
10965,alefianrahman,0.480 (8),
13871,ecureuil,0.486 (9),
14315,Daniel,0.511 (10),
11290,matthias,0.520 (11),
13679,mklienz,0.537 (12),
13964,szymon_p,0.544 (13),
13410,Junlong_Li,0.765 (14),
8835,wpd_challenges,1.000 (15),
14339,daorun,1.972 (16),
14335,Adad_anamass,2.169 (17),
