submission_pk,User,b'<Rank>',b'Recall',b'Precision',b'F1',b'Accuracy',b'MCC'
176253,guneetsk99,3.0000 (13),0.9148 (1),0.8131 (8),0.8610 (2),0.8328 (2),0.6602 (2),
169530,tkrumbiegel,5.6000 (9),0.9091 (2),0.8000 (9),0.8511 (5),0.8199 (5),0.6340 (7),
172942,JuHyeon_Kim,7.2000 (7),0.9034 (3),0.7950 (10),0.8457 (8),0.8135 (6),0.6204 (9),
174079,csecudsg,1.6000 (14),0.8864 (4),0.8387 (1),0.8619 (1),0.8392 (1),0.6714 (1),
175025,hiranmai,3.6000 (12),0.8864 (4),0.8211 (5),0.8525 (3),0.8264 (3),0.6451 (3),
176365,thearkamitra,5.6000 (9),0.8807 (5),0.8201 (6),0.8493 (7),0.8232 (4),0.6383 (6),
165970,PaulTrust,10.6000 (4),0.8807 (5),0.7488 (13),0.8094 (13),0.7653 (9),0.5205 (13),
163264,pogs2022,4.0000 (11),0.8807 (5),0.8245 (4),0.8516 (4),0.8264 (3),0.6449 (4),
173594,msingh,4.4000 (10),0.8750 (6),0.8280 (2),0.8508 (6),0.8264 (3),0.6449 (5),
172098,nika,8.0000 (6),0.8636 (7),0.8172 (7),0.8398 (10),0.8135 (6),0.6185 (10),
173025,brucewlee,6.4000 (8),0.8636 (7),0.8261 (3),0.8444 (9),0.8199 (5),0.6318 (8),
176335,quynhanh,9.6000 (5),0.8580 (8),0.7906 (11),0.8229 (11),0.7910 (7),0.5719 (11),
158312,hansih,12.2000 (3),0.8466 (9),0.7268 (14),0.7822 (14),0.7331 (10),0.4515 (14),
157481,tanfiona,10.6000 (4),0.8466 (9),0.7801 (12),0.8120 (12),0.7781 (8),0.5452 (12),
171780,necva,14.0000 (1),0.8125 (10),0.5909 (16),0.6842 (16),0.5756 (12),0.0944 (16),
176292,lapardnemihk9989,13.4000 (2),0.7898 (11),0.7202 (15),0.7534 (15),0.7074 (11),0.3981 (15),
