submission_pk,User,b'HOTA',b'DetA',b'AssA',b'LocA'
66678,Fran_Aguilar_Lite,42.3945 (1),55.4399 (4),32.4493 (4),80.5898 (4),
65745,paulagarzolio,41.4109 (2),53.4501 (8),32.1285 (5),80.4557 (9),
63910,AlbertGubau,38.9715 (3),56.9003 (1),26.7920 (7),80.5055 (7),
66448,JaumeJorda,37.4462 (4),53.2211 (10),26.4572 (8),80.4981 (8),
66596,u172743,37.3430 (5),56.7484 (3),24.6696 (12),80.1363 (13),
66627,SofiaCardenas,37.1521 (6),52.5946 (12),26.3506 (9),80.5710 (6),
66499,CristianFedezUPF,36.8583 (7),54.8995 (6),24.8341 (11),80.7780 (2),
66656,blancacervera,35.0338 (8),49.0179 (13),25.1396 (10),80.4394 (10),
65041,OscarPalomo,32.6301 (9),56.8436 (2),18.7925 (14),80.1431 (12),
66652,u172757,20.5341 (10),54.9821 (5),7.7958 (15),80.2180 (11),
66673,NilMartiValverde,17.3628 (11),5.7283 (15),52.6407 (1),71.6344 (14),
66604,MarcRodriguez,17.3628 (11),5.7283 (15),52.6407 (1),71.6344 (14),
66677,PauMontero,17.2447 (12),52.9458 (11),5.6484 (16),80.7997 (1),
66543,rogerpurgimon01,17.1074 (13),53.5919 (7),5.5123 (17),80.6699 (3),
63993,mariagomez,17.0020 (14),53.4414 (9),5.4781 (18),80.5824 (5),
62753,u176441,15.6417 (15),5.4859 (16),44.6259 (2),71.3442 (15),
66657,pol_gustavo,11.3105 (16),6.3677 (14),20.5220 (13),70.2683 (16),
66386,u150255-u149932-u161575,10.8205 (17),3.3533 (17),35.1835 (3),65.9321 (18),
66318,video_processing_2022,10.8205 (17),3.3533 (17),35.1835 (3),65.9321 (18),
65816,u150012,9.5766 (18),2.9382 (18),31.2534 (6),69.5373 (17),
