submission_pk,User,b'Difference'
103694,Behoom,0.1125000000 (1),
106764,flames,0.1126000000 (2),
103816,backspacetg,0.1126000000 (2),
103109,xiehaoyuan,0.1141000000 (3),
106628,jingquntang,0.1143000000 (4),
103310,hyk,0.1143000000 (4),
103793,alpaca,0.1158000000 (5),
106499,reyne,0.1159000000 (6),
103829,robindu,0.1161000000 (7),
103200,vivo-ailab,0.1258000000 (8),
103819,cver,0.1353000000 (9),
103760,qiaoqiaochuxian,0.1852000000 (10),
103815,YingtaoTan,0.1937000000 (11),
103714,Change,0.2195000000 (12),
103067,shajiayu,0.3290000000 (13),
103806,jiangHao1,1.0000000000 (14),
