submission_pk,User,b'f1',b'Precision',b'Recall'
115304,kelven,0.5543 (1),0.55 (1),0.55 (4),
372479,EstebanPonce3,0.5496 (2),0.52 (3),0.59 (1),
363442,Arnold,0.5311 (3),0.50 (5),0.59 (2),
113699,pturon,0.5286 (4),0.53 (2),0.53 (5),
114253,ITAINNOVA,0.5046 (5),0.50 (4),0.50 (6),
121078,LuisArellano,0.4981 (6),0.46 (9),0.57 (3),
114830,atnafu,0.4903 (7),0.49 (6),0.49 (7),
115231,danielvallejo237,0.4733 (8),0.47 (7),0.47 (8),
111391,JoseAGD,0.4694 (9),0.47 (8),0.47 (9),
106778,sustaitangel,0.4336 (10),0.43 (10),0.43 (10),
113229,Abu,0.3921 (11),0.39 (12),0.39 (11),
118667,hugojair,0.2267 (12),0.43 (11),0.20 (12),
