submission_pk,User,b'Score',b'OSR',b'DPR'
88401,Aluka,49.8425 (1),30.6050 (1),69.0800 (1),
87512,xiaoshu,47.2300 (2),28.7960 (2),65.6640 (2),
82087,upup,45.4630 (3),27.8340 (3),63.0920 (3),
82401,DonDominic,43.6315 (4),24.9220 (6),62.3410 (4),
82928,lzii,43.0230 (5),25.8570 (4),60.1890 (6),
80271,binlin,42.3780 (6),25.3760 (5),59.3800 (7),
78355,Peace,41.5765 (7),24.8350 (7),58.3180 (8),
80137,maoruikang,38.8515 (8),22.6190 (8),55.0840 (10),
85704,tss,38.0570 (9),15.4430 (11),60.6710 (5),
79218,zeroPF,37.6680 (10),20.0130 (9),55.3230 (9),
87849,APT,28.9865 (11),17.8570 (10),40.1160 (11),
88202,fa,24.1095 (12),8.3410 (13),39.8780 (12),
73540,zjphust,18.9640 (13),8.3850 (12),29.5430 (13),
81272,Tak3n,1.0205 (14),0.0000 (14),2.0410 (14),
72788,yq13,1.0205 (14),0.0000 (14),2.0410 (14),
71112,smart,1.0205 (14),0.0000 (14),2.0410 (14),
70544,shan666,1.0205 (14),0.0000 (14),2.0410 (14),
70361,mryoung,1.0205 (14),0.0000 (14),2.0410 (14),
68742,zytx121,1.0205 (14),0.0000 (14),2.0410 (14),
68700,zf020114,1.0205 (14),0.0000 (14),2.0410 (14),
