submission_pk,User,b'ROC AUC score'
146540,harelr,0.9001 (1),
146569,TrueFit,0.8700 (2),
146573,victthor,0.8580 (3),
147293,GA_,0.8497 (4),
146574,Wafi,0.8461 (5),
146528,devnikhilmishra,0.8453 (6),
146536,GA,0.8449 (7),
146556,Room722,0.8397 (8),
146545,lyzi,0.8325 (9),
146557,sarg,0.8304 (10),
147292,anindabitm_,0.8292 (11),
146552,orkorn,0.8274 (12),
146530,eladcoh3,0.8272 (13),
146553,ouranos,0.8268 (14),
146572,Twix,0.8210 (15),
146523,Shivacodalab,0.8090 (16),
146548,Nach,0.8073 (17),
146550,NoamLhiyani,0.8072 (18),
147255,ShayTeam_,0.8060 (19),
146567,Tortorelli,0.8042 (20),
146532,ErezGilat21,0.7987 (21),
146564,tak,0.7959 (22),
146562,Suman,0.7886 (23),
146566,tomy4reel,0.7838 (24),
147269,adityakamal_,0.7756 (25),
146559,schtefanos,0.7442 (26),
146538,GumJum,0.7346 (27),
146526,danitgino,0.7206 (28),
146748,ShayTeam,0.7039 (29),
146518,bumpapachi,0.7038 (30),
146527,ddhn,0.6795 (31),
146543,LevZ,0.5463 (32),
