submission_pk,User,b'overlapping F1',b'overlapping P',b'overlapping R',b'strict F1',b'strict P',b'strict R'
153948,ajimeno,0.942 (1),0.941 (5),0.942 (6),0.871 (2),0.868 (3),0.875 (3),
157391,aten,0.941 (2),0.930 (9),0.952 (2),0.646 (16),0.637 (16),0.656 (13),
153821,aardoiz_dezzai,0.941 (2),0.933 (8),0.948 (4),0.836 (6),0.828 (7),0.845 (5),
157387,CristinaGH,0.939 (3),0.928 (10),0.949 (3),0.642 (17),0.634 (17),0.651 (14),
157238,JiaFu,0.933 (4),0.951 (2),0.916 (9),0.891 (1),0.906 (1),0.876 (2),
157392,harshv,0.930 (5),0.905 (12),0.957 (1),0.868 (3),0.840 (6),0.898 (1),
157352,matirojasg,0.927 (6),0.952 (1),0.904 (11),0.862 (4),0.882 (2),0.843 (6),
157243,Antoinel,0.926 (7),0.940 (6),0.912 (10),0.803 (8),0.809 (9),0.798 (9),
154454,antonio.tamayo,0.917 (8),0.921 (11),0.912 (10),0.851 (5),0.842 (4),0.860 (4),
154275,pvf,0.905 (9),0.948 (3),0.865 (13),0.821 (7),0.868 (3),0.779 (11),
157122,BPortelli,0.893 (10),0.937 (7),0.853 (14),0.481 (20),0.504 (19),0.461 (19),
155886,chizhikchi,0.868 (11),0.869 (14),0.867 (12),0.775 (9),0.756 (12),0.795 (10),
156110,kendrickcetina,0.865 (12),0.803 (16),0.939 (7),0.738 (11),0.680 (14),0.805 (8),
156270,ngarcia,0.863 (13),0.793 (17),0.947 (5),0.729 (13),0.667 (15),0.805 (8),
157115,ITAINNOVA,0.854 (14),0.793 (17),0.924 (8),0.752 (10),0.691 (13),0.826 (7),
155511,luisgasco,0.831 (15),0.878 (13),0.788 (15),0.737 (12),0.776 (10),0.701 (12),
154354,darrylestrada,0.778 (16),0.943 (4),0.662 (18),0.700 (14),0.841 (5),0.600 (17),
153615,darrylestrada97,0.778 (16),0.943 (4),0.662 (18),0.700 (14),0.841 (5),0.600 (17),
156420,jcastano,0.767 (17),0.838 (15),0.707 (17),0.697 (15),0.759 (11),0.644 (15),
156908,veysel_jsl,0.714 (18),0.781 (18),0.658 (19),0.004 (21),0.004 (20),0.004 (20),
155869,AKA,0.701 (19),0.948 (3),0.556 (20),0.593 (18),0.817 (8),0.466 (18),
157205,RohitJain001,0.694 (20),0.632 (19),0.770 (16),0.559 (19),0.505 (18),0.625 (16),
