submission_pk,User,b'AvgAP',b'AvgAP50',b'AvgAP75',b'AvgAR@300'
123886,nicehuster,0.5594 (1),0.6601 (2),0.6026 (2),- (-),
122627,yangxingyi,0.5535 (2),0.6768 (1),0.6130 (1),- (-),
125352,USTC-IAT-United,0.4241 (3),0.5710 (3),0.4973 (3),- (-),
113314,LKONE,0.4160 (4),0.5478 (4),0.4852 (4),- (-),
125122,angelomenezes,0.4140 (5),0.5242 (7),0.4602 (6),- (-),
93442,wyx,0.4085 (6),0.5411 (6),0.4790 (5),- (-),
121529,seesee,0.3815 (7),0.5088 (11),0.4464 (7),- (-),
121284,Patricia,0.3724 (8),0.4996 (12),0.4374 (8),- (-),
108476,fenght,0.3607 (9),0.4955 (13),0.4219 (10),- (-),
108561,wyz,0.3582 (10),0.5093 (10),0.4230 (9),- (-),
86208,zhoujuncc1,0.3560 (11),0.5466 (5),0.4081 (11),- (-),
92079,Huayue,0.3409 (12),0.5175 (8),0.3975 (12),- (-),
101613,test_demo_xxp,0.3317 (13),0.5141 (9),0.3755 (14),- (-),
97870,NalRaZhou,0.3205 (14),0.4575 (14),0.3765 (13),- (-),
125328,u7355608,0.1898 (15),0.2559 (15),0.2210 (15),- (-),
117625,zhangteng,0.0005 (16),0.0015 (16),0.0003 (16),- (-),
