submission_pk,User,b'Overall score',b'Score Dataset 1',b'Score Dataset 2',b'Score Dataset 3',b'Score Dataset 4',b'Score Dataset 5',b'Score Dataset 6',b'Score Dataset 7',b'Score Dataset 8',b'Score Dataset 9',b'Score Dataset 10',b'Duration'
174651,lx123,0.77 (1),0.98 (2),0.61 (1),0.66 (1),0.99 (2),0.26 (3),0.97 (1),0.73 (1),0.81 (2),0.87 (2),0.81 (7),9433.29 (13),
176250,EmmanuelPintelas,0.77 (2),0.98 (1),0.59 (4),0.64 (4),0.98 (5),0.27 (2),0.94 (5),0.71 (3),0.77 (5),0.85 (5),0.94 (1),13198.55 (7),
176143,Cat123,0.76 (3),0.97 (3),0.59 (2),0.66 (2),0.99 (3),0.25 (5),0.97 (2),0.72 (2),0.81 (1),0.87 (3),0.82 (5),6682.46 (17),
174803,Jasmine7,0.76 (4),0.97 (4),0.59 (3),0.64 (3),0.99 (1),0.24 (6),0.97 (3),0.70 (5),0.80 (3),0.86 (4),0.85 (4),6749.65 (16),
165499,xl123,0.73 (5),0.96 (6),0.57 (5),0.63 (5),0.97 (7),0.21 (9),0.94 (4),0.69 (7),0.79 (4),0.87 (1),0.70 (10),11484.82 (10),
176405,cdml_2,0.73 (6),0.96 (9),0.57 (6),0.61 (7),0.99 (4),0.26 (4),0.94 (6),0.69 (6),0.72 (8),0.79 (10),0.82 (6),16276.17 (5),
176383,cdml,0.73 (7),0.95 (10),0.56 (7),0.61 (6),0.98 (6),0.27 (1),0.92 (8),0.68 (8),0.71 (10),0.78 (12),0.80 (8),16367.14 (4),
173870,LSV,0.72 (8),0.95 (11),0.56 (8),0.60 (8),0.96 (9),0.23 (8),0.90 (10),0.71 (4),0.70 (11),0.77 (13),0.78 (9),17348.92 (3),
176518,Goudas,0.71 (9),0.96 (7),0.54 (9),0.51 (11),0.97 (8),0.15 (12),0.92 (7),0.58 (10),0.77 (6),0.80 (9),0.87 (2),4627.83 (19),
162637,XtYin,0.70 (10),0.97 (5),0.52 (11),0.52 (10),0.96 (10),0.16 (11),0.92 (9),0.56 (11),0.74 (7),0.79 (11),0.85 (3),3609.47 (22),
175842,Kwstas,0.66 (11),0.96 (8),0.54 (10),0.56 (9),0.93 (12),0.24 (7),0.87 (12),0.56 (12),0.67 (13),0.81 (6),0.46 (15),6545.54 (18),
176516,jky23,0.63 (12),0.93 (12),0.49 (12),0.51 (12),0.93 (11),0.16 (10),0.90 (11),0.59 (9),0.71 (9),0.81 (8),0.24 (16),8567.95 (15),
171516,wangyiyx,0.59 (13),0.93 (13),0.46 (13),0.47 (13),0.91 (13),0.10 (21),0.84 (13),0.50 (13),0.68 (12),0.81 (7),0.18 (19),3120.18 (25),
171517,xjihrdhr,0.59 (13),0.93 (13),0.46 (13),0.47 (13),0.91 (13),0.10 (21),0.84 (13),0.50 (13),0.68 (12),0.81 (7),0.18 (19),774.00 (35),
171080,neptune,0.59 (13),0.93 (13),0.46 (13),0.47 (13),0.91 (13),0.10 (21),0.84 (13),0.50 (13),0.68 (12),0.81 (7),0.18 (19),3017.19 (28),
169579,OneMLight,0.59 (13),0.93 (13),0.46 (13),0.47 (13),0.91 (13),0.10 (21),0.84 (13),0.50 (13),0.68 (12),0.81 (7),0.18 (19),3047.93 (27),
154575,metaFIT,0.59 (13),0.93 (13),0.46 (13),0.47 (13),0.91 (13),0.10 (21),0.84 (13),0.50 (13),0.68 (12),0.81 (7),0.18 (19),3586.61 (23),
148322,metadelta_baseline,0.59 (13),0.93 (13),0.46 (13),0.47 (13),0.91 (13),0.10 (21),0.84 (13),0.50 (13),0.68 (12),0.81 (7),0.18 (19),12972.20 (9),
150232,Oliver,0.53 (14),0.80 (14),0.43 (14),0.42 (14),0.84 (14),0.14 (14),0.84 (14),0.41 (14),0.62 (14),0.66 (14),0.11 (22),3900.62 (21),
165314,anonymous1,0.44 (15),0.72 (15),0.32 (15),0.27 (17),0.82 (15),0.11 (19),0.68 (18),0.32 (16),0.51 (15),0.47 (15),0.15 (21),10813.57 (11),
148310,protonet_baseline,0.42 (16),0.30 (17),0.27 (17),0.33 (15),0.82 (16),0.13 (15),0.77 (15),0.32 (15),0.42 (17),0.24 (17),0.64 (12),8861.34 (14),
175983,Cat456,0.40 (17),0.47 (16),0.27 (16),0.28 (16),0.81 (17),0.14 (13),0.76 (16),0.29 (18),0.42 (16),0.32 (16),0.21 (17),673.77 (36),
148308,matchingnet_baseline,0.33 (18),0.20 (19),0.21 (18),0.26 (18),0.61 (24),0.12 (16),0.63 (19),0.20 (21),0.30 (19),0.13 (24),0.66 (11),9954.41 (12),
148304,finetuning_baseline,0.31 (19),0.18 (20),0.18 (20),0.25 (19),0.65 (23),0.06 (30),0.59 (21),0.21 (20),0.23 (21),0.14 (22),0.57 (13),3162.77 (24),
176478,diptithakur,0.30 (20),0.27 (18),0.18 (19),0.20 (22),0.71 (18),0.08 (25),0.62 (20),0.24 (19),0.33 (18),0.21 (19),0.18 (18),1274.54 (33),
148303,train_from_scratch_baseline,0.27 (21),0.18 (21),0.15 (23),0.21 (20),0.70 (19),0.10 (22),0.50 (28),0.31 (17),0.18 (25),0.22 (18),0.11 (23),2449.11 (31),
176180,Zenkas,0.25 (22),0.13 (22),0.16 (21),0.21 (21),0.66 (21),0.07 (27),0.55 (24),0.16 (22),0.27 (20),0.15 (21),0.16 (20),3995.21 (20),
176517,Emmanuel_Pintelas_2,0.25 (23),0.10 (26),0.15 (22),0.20 (23),0.69 (20),0.12 (17),0.73 (17),0.12 (26),0.18 (24),0.18 (20),-0.00 (34),13158.56 (8),
148318,maml_baseline,0.24 (24),0.13 (23),0.13 (24),0.19 (24),0.52 (28),0.09 (23),0.49 (29),0.14 (23),0.20 (22),0.06 (31),0.47 (14),17569.31 (2),
176457,kushalps,0.20 (25),0.11 (24),0.11 (25),0.13 (27),0.66 (22),0.06 (29),0.50 (27),0.12 (24),0.19 (23),0.10 (26),0.01 (24),2501.93 (30),
156087,hobeter,0.20 (26),0.11 (25),0.11 (26),0.12 (28),0.58 (25),0.11 (18),0.57 (22),0.10 (27),0.12 (26),0.13 (23),0.00 (29),550.31 (39),
153330,brunoseznec,0.20 (26),0.11 (25),0.11 (26),0.12 (28),0.58 (25),0.11 (18),0.57 (22),0.10 (27),0.12 (26),0.13 (23),0.00 (29),511.53 (40),
149687,hungnm,0.20 (26),0.11 (25),0.11 (26),0.12 (28),0.58 (25),0.11 (18),0.57 (22),0.10 (27),0.12 (26),0.13 (23),0.00 (29),594.83 (37),
176503,jky23_2,0.19 (27),0.07 (28),0.10 (27),0.15 (25),0.58 (26),0.08 (26),0.56 (23),0.08 (28),0.12 (27),0.12 (25),0.01 (28),3113.09 (26),
167971,Aaquila27,0.17 (28),0.08 (27),0.08 (30),0.10 (29),0.57 (27),0.11 (20),0.52 (25),0.07 (29),0.11 (29),0.08 (28),0.01 (27),2948.49 (29),
151889,hzS,0.16 (29),0.07 (30),0.09 (28),0.10 (31),0.48 (29),0.08 (24),0.51 (26),0.12 (25),0.11 (28),0.07 (29),0.00 (30),1249.50 (34),
162639,Tangerina,0.12 (30),0.07 (31),0.05 (32),0.10 (30),0.38 (30),0.07 (28),0.39 (30),0.05 (30),0.08 (31),0.05 (32),-0.00 (32),590.69 (38),
165272,ybendou,0.11 (31),0.07 (29),0.09 (29),0.15 (26),0.28 (31),0.04 (33),0.30 (32),0.01 (33),0.08 (30),0.09 (27),-0.00 (33),17693.78 (1),
172353,raflaf,0.10 (32),0.04 (32),0.07 (31),0.07 (32),0.19 (33),0.05 (32),0.39 (31),0.03 (32),0.07 (32),0.07 (30),0.01 (26),13755.99 (6),
176432,MeghnaSingh,0.07 (33),0.02 (33),0.02 (33),0.05 (33),0.20 (32),0.05 (31),0.19 (33),0.04 (31),0.04 (33),0.04 (33),0.01 (25),1555.57 (32),
164171,dustinc_test,-0.00 (34),-0.01 (34),-0.00 (34),-0.00 (34),-0.00 (34),-0.00 (34),0.00 (34),0.00 (34),0.01 (34),-0.01 (34),-0.00 (31),234.84 (41),
161442,dragon_bra,-0.00 (34),-0.01 (34),-0.00 (34),-0.00 (34),-0.00 (34),-0.00 (34),0.00 (34),0.00 (34),0.01 (34),-0.01 (34),-0.00 (31),211.29 (45),
156750,fmohr,-0.00 (34),-0.01 (34),-0.00 (34),-0.00 (34),-0.00 (34),-0.00 (34),0.00 (34),0.00 (34),0.01 (34),-0.01 (34),-0.00 (31),214.33 (43),
156749,Daniel78,-0.00 (34),-0.01 (34),-0.00 (34),-0.00 (34),-0.00 (34),-0.00 (34),0.00 (34),0.00 (34),0.01 (34),-0.01 (34),-0.00 (31),194.99 (48),
151012,deeplearn,-0.00 (34),-0.01 (34),-0.00 (34),-0.00 (34),-0.00 (34),-0.00 (34),0.00 (34),0.00 (34),0.01 (34),-0.01 (34),-0.00 (31),212.07 (44),
148405,eleni,-0.00 (34),-0.01 (34),-0.00 (34),-0.00 (34),-0.00 (34),-0.00 (34),0.00 (34),0.00 (34),0.01 (34),-0.01 (34),-0.00 (31),195.87 (46),
148404,mert,-0.00 (34),-0.01 (34),-0.00 (34),-0.00 (34),-0.00 (34),-0.00 (34),0.00 (34),0.00 (34),0.01 (34),-0.01 (34),-0.00 (31),195.04 (47),
148403,guyon,-0.00 (34),-0.01 (34),-0.00 (34),-0.00 (34),-0.00 (34),-0.00 (34),0.00 (34),0.00 (34),0.01 (34),-0.01 (34),-0.00 (31),187.44 (49),
148302,random_baseline,-0.00 (34),-0.01 (34),-0.00 (34),-0.00 (34),-0.00 (34),-0.00 (34),0.00 (34),0.00 (34),0.01 (34),-0.01 (34),-0.00 (31),220.90 (42),
