submission_pk,User,b'RE_F1',b'Evi_F1',b'RE_ignore_annotated_F1',b'RE_ignore_distant_F1'
197560,kgmr15,0.67 (2),0.58 (1),0.65 (2),0.60 (2),
209884,docred,0.63 (11),0.52 (2),0.61 (11),0.57 (10),
204278,Celeakia,0.58 (52),0.41 (3),0.56 (52),0.52 (51),
86819,guolh,0.58 (51),0.32 (4),0.56 (50),0.52 (50),
410135,Mightbemighty,0.57 (57),0.00 (5),0.54 (57),0.50 (57),
425293,steinsgate,0.00 (67),0.00 (6),0.00 (67),0.00 (67),
494035,victorchangtw,0.45 (61),0.00 (7),0.42 (61),0.36 (61),
493370,lmazxn,0.60 (42),0.00 (7),0.58 (37),0.55 (33),
489779,oo,0.63 (17),0.00 (7),0.61 (16),0.56 (17),
492837,IAI,0.63 (16),0.00 (7),0.60 (17),0.56 (22),
491432,xiaohuan,0.51 (60),0.00 (7),0.50 (60),0.47 (60),
489199,pqk,0.43 (62),0.00 (7),0.39 (62),0.33 (62),
487951,piqiankun,0.61 (39),0.00 (7),0.58 (42),0.54 (42),
469741,ljl,0.61 (31),0.00 (7),0.59 (30),0.55 (29),
438735,miaoq,0.63 (12),0.00 (7),0.61 (15),0.57 (11),
468309,model1,0.58 (55),0.00 (7),0.55 (56),0.51 (56),
463618,louis19990321,0.60 (45),0.00 (7),0.58 (39),0.55 (37),
458823,wfy,0.63 (9),0.00 (7),0.61 (9),0.57 (13),
428128,yan11,0.62 (27),0.00 (7),0.60 (28),0.55 (27),
445012,zhen,0.62 (19),0.00 (7),0.60 (18),0.56 (19),
438753,ikun_A318_egggggg,0.63 (12),0.00 (7),0.61 (15),0.57 (11),
426715,caichenggou129,0.60 (41),0.00 (7),0.58 (44),0.53 (44),
425197,wjp226,0.62 (23),0.00 (7),0.60 (19),0.56 (18),
424563,kk789,0.62 (20),0.00 (7),0.60 (21),0.56 (23),
409567,yangli13033,0.00 (69),0.00 (7),0.00 (69),0.00 (69),
408476,VictorZzj,0.00 (66),0.00 (7),0.00 (66),0.00 (66),
