submission_pk,User,b'V@0.10:0.90',b'F@0.5',b'V@0.2',b'V@0.5',b'V@0.05:0.45',b'V@0.50:0.95'
167079,JosmyFaure,13.102 (1),35.440 (1),28.944 (2),9.666 (2),25.174 (1),2.762 (2),
163162,ckk,12.728 (2),32.118 (4),29.050 (1),8.769 (4),24.760 (2),2.303 (5),
160851,zwtu,12.641 (3),33.058 (2),28.672 (3),8.700 (5),24.455 (3),2.416 (4),
157969,Judie1999,12.426 (4),28.484 (6),25.623 (5),10.807 (1),23.061 (5),3.072 (1),
166891,webber12312,12.324 (5),30.800 (5),27.217 (4),9.053 (3),23.623 (4),2.657 (3),
164888,xt,10.329 (6),23.688 (7),23.928 (6),7.033 (6),20.452 (6),1.811 (6),
159045,freakk_xd,9.436 (7),32.949 (3),22.986 (7),4.275 (7),19.774 (7),1.030 (8),
166876,webber114,5.552 (8),30.800 (5),12.245 (8),3.983 (8),10.934 (8),1.087 (7),
160840,gukirt,0.004 (9),0.000 (9),0.000 (9),0.000 (9),0.010 (9),0.000 (9),
143874,klinic,0.000 (10),0.001 (8),0.000 (9),0.000 (9),0.000 (10),0.000 (9),
