submission_pk,User,b'F_0.5',b'P',b'R',b'TP',b'FP',b'FN'
173433,fengpan,79.90 (1),86.65 (2),60.91 (6),3253.0 (6),501.0 (18),2088.0 (19),
381179,Bohdan_Didenk,77.60 (2),86.62 (3),54.80 (11),2874.0 (15),444.0 (20),2371.0 (12),
494246,Energybubu,77.00 (3),85.81 (4),54.58 (12),2982.0 (13),493.0 (19),2482.0 (8),
474533,Rapscallion,75.97 (4),80.88 (6),61.15 (5),3214.0 (7),760.0 (16),2042.0 (20),
365148,valuable30,75.33 (5),80.94 (5),59.00 (8),3265.0 (5),769.0 (15),2269.0 (13),
298842,andbo,73.71 (6),78.62 (8),59.00 (8),3088.0 (11),840.0 (13),2146.0 (17),
494185,peixun,73.00 (7),80.11 (7),53.86 (14),2920.0 (14),725.0 (17),2501.0 (7),
374799,wangjiaqi,71.78 (8),77.67 (9),55.06 (10),2992.0 (12),860.0 (12),2442.0 (10),
421665,tailen,70.76 (9),72.80 (12),63.65 (3),3658.0 (2),1367.0 (8),2089.0 (18),
264744,FloraFei,70.33 (10),73.59 (10),59.76 (7),3196.0 (8),1147.0 (10),2152.0 (15),
250292,achi,70.12 (11),71.85 (13),63.98 (2),3570.0 (4),1399.0 (7),2010.0 (21),
290944,tsingcwang,68.21 (12),70.21 (14),61.21 (4),3576.0 (3),1517.0 (6),2266.0 (14),
298545,Konstantin,67.91 (13),72.93 (11),53.22 (15),2781.0 (16),1032.0 (11),2444.0 (9),
279564,laneycici,63.62 (14),65.84 (15),56.04 (9),3098.0 (10),1607.0 (5),2430.0 (11),
384672,Askinkaty,50.03 (15),47.36 (17),64.63 (1),3928.0 (1),4366.0 (2),2150.0 (16),
358422,xinlingdedeng,46.09 (16),57.08 (16),26.04 (17),1100.0 (18),827.0 (14),3125.0 (4),
492066,cchaha,39.71 (17),38.88 (19),43.40 (16),2208.0 (17),3471.0 (3),2880.0 (5),
160458,karansood,36.87 (18),43.00 (18),23.49 (18),979.0 (19),1298.0 (9),3189.0 (3),
452844,zhanzq,19.29 (19),16.61 (20),54.55 (13),3178.0 (9),15957.0 (1),2648.0 (6),
444477,tsywb,7.55 (20),8.20 (21),5.72 (19),217.0 (20),2428.0 (4),3576.0 (2),
412476,liuxuan,0.00 (21),100.00 (1),0.00 (20),0.0 (21),0.0 (21),3631.0 (1),
