submission_pk,User,b'Acc'
152663,PingPingPangPangBangBangBang,84.62421 (1),
151630,vtddggg,84.05049 (2),
153455,timmy11hu,81.99656 (3),
153301,megvii_is_fp,81.49168 (4),
152795,Wentian,79.91968 (5),
152764,czyczyyzc,79.35743 (6),
111371,wangyuqing,78.81813 (7),
138094,Jarvis-Tencent-KAUST,78.78371 (8),
146981,Wild,78.41652 (9),
141905,peisen,77.80838 (10),
153244,mcislab840,76.35112 (11),
152222,ShitongShao,76.20195 (12),
140596,HaozheL,75.73150 (13),
152746,electron,74.32014 (14),
150642,HaoWen,73.98738 (15),
149304,test404,72.88583 (16),
153332,Lge,72.72519 (17),
151483,sst,72.59897 (18),
148292,PKU_baseline,72.54160 (19),
151264,Kristine,71.76133 (20),
145557,ddd94,70.94664 (21),
151490,Macondo,70.86632 (22),
146022,wenqinl,69.74182 (23),
152240,joonjeon,69.21400 (24),
152580,slack85,68.02065 (25),
96522,Nongqingpeng,65.22088 (26),
145109,ZhengqingFang,60.41308 (27),
140582,LuTan,60.19507 (28),
104824,k-zha14,59.25416 (29),
92090,TangyuanX,59.12794 (30),
149751,instax,56.28227 (31),
149765,minikitty,51.86460 (32),
100262,Sugar,51.31383 (33),
145758,Xiangxian_Li,50.71715 (34),
88173,NICO-official,43.55708 (35),
88165,xxzhang,33.10384 (36),
104712,yjyang,11.58921 (37),
86352,chrisole,2.18015 (38),
152165,HuanranChen,0.29834 (39),
