submission_pk,User,b'Relative Absolute Error',b'Absolute Error'
104963,tpopordanoska,0.108580 (1),0.024181 (2),
104881,gonzalezgpablo,0.108969 (2),0.023266 (1),
105462,juanjodelcoz,0.111302 (3),0.024746 (3),
90113,SLD_baseline,0.113823 (4),0.025184 (4),
103865,DortmundAI,0.114030 (5),0.027063 (5),
90320,HDy_baseline,0.145141 (6),0.028143 (6),
90106,PACC_baseline,0.152185 (7),0.029849 (7),
90126,ACC_baseline,0.170201 (8),0.037157 (10),
101022,kevinkloos,0.196243 (9),0.031709 (8),
105913,quanet_T1A,0.317637 (10),0.034183 (9),
90121,C.C._baseline,1.083997 (11),0.091604 (11),
90092,PCC_baseline,1.394021 (12),0.116639 (12),
90306,MLPE_baseline,3.266917 (13),0.322534 (13),
