submission_pk,User,b'mIoU',b'ExecutionTime'
482999,lihengzhong,0.54766 (1),106.60474 (21),
141299,liujiawei,0.50294 (2),145.01145 (3),
290184,ShuchangLYU,0.50082 (3),103.60226 (22),
384073,HUp,0.49719 (4),117.28255 (14),
441975,Jianfan,0.49709 (5),88.27188 (33),
441660,scu_cmpunk,0.49709 (5),97.03802 (27),
248848,bf,0.49313 (6),99.16420 (24),
214241,rssisu,0.48886 (7),132.15957 (13),
52890,edornd,0.46629 (8),144.50191 (4),
167854,yann,0.46458 (9),135.31506 (10),
227469,uda,0.46455 (10),114.77059 (17),
373148,lwr2012,0.45868 (11),89.18980 (32),
52892,coral,0.45843 (12),141.61005 (6),
52895,yyc,0.45552 (13),155.45882 (1),
322144,keepmecrazy,0.45362 (14),135.20011 (11),
52893,linshan,0.45173 (15),133.52116 (12),
426289,leahyyy,0.45173 (16),99.24370 (23),
306256,zhengyilin,0.45136 (17),91.68588 (30),
52889,deoxys,0.45107 (18),97.63211 (26),
147427,Alanosu,0.44625 (19),146.71275 (2),
329239,wankang,0.43691 (20),90.03314 (31),
229043,jbnuc,0.43498 (21),136.14058 (9),
386407,feeling,0.43379 (22),97.65711 (25),
259128,wasziyang,0.42919 (23),107.08840 (20),
63103,xuebingjie,0.40434 (24),142.82635 (5),
251681,xdqiang,0.40326 (25),87.34868 (34),
330742,yuting,0.40325 (26),92.57417 (29),
377352,LoveDM,0.40142 (27),113.82543 (18),
184417,tanmlh,0.39984 (28),115.76676 (16),
78912,Pope.Zheng,0.39641 (29),138.58598 (7),
240581,Leih,0.38910 (30),92.99638 (28),
406488,Xiaoxinghhh,0.38783 (31),111.14267 (19),
82770,xumengqiu0910,0.34117 (32),116.15318 (15),
97537,wangtong,0.22847 (33),136.38654 (8),
